,model,tmscore
0,af3_jian_0,0.42
1,af3_jian_1,0.422
2,af3_jian_2,0.416
3,af3_jian_3,0.415
4,af3_jian_4,0.402
5,af3_jian_5,0.452
6,af3_jian_6,0.426
7,af3_jian_7,0.424
8,af3_jian_8,0.451
9,af3_jian_9,0.408
10,af3_pawan_0,0.402
11,af3_pawan_1,0.41
12,af3_pawan_2,0.427
13,af3_pawan_3,0.433
14,af3_pawan_4,0.459
15,af3_pawan_5,0.453
16,af3_pawan_6,0.448
17,af3_pawan_7,0.42
18,af3_pawan_8,0.42
19,af3_pawan_9,0.396
20,afsample_v1_0,0.401
21,afsample_v1_1,0.393
22,afsample_v1_2,0.388
23,afsample_v1_3,0.378
24,afsample_v1_4,0.372
25,afsample_v1_not_0,0.395
26,afsample_v1_not_1,0.403
27,afsample_v1_not_2,0.387
28,afsample_v1_not_3,0.39
29,afsample_v1_not_4,0.381
30,afsample_v1_r21_not_0,0.414
31,afsample_v1_r21_not_1,0.413
32,afsample_v1_r21_not_2,0.416
33,afsample_v1_r21_not_3,0.413
34,afsample_v1_r21_not_4,0.411
35,afsample_v2_0,0.443
36,afsample_v2_1,0.433
37,afsample_v2_2,0.43
38,afsample_v2_3,0.437
39,afsample_v2_4,0.435
40,afsample_v2_not_0,0.432
41,afsample_v2_not_1,0.436
42,afsample_v2_not_2,0.43
43,afsample_v2_not_3,0.433
44,afsample_v2_not_4,0.434
45,afsample_v2_r21_not_0,0.455
46,afsample_v2_r21_not_1,0.45
47,afsample_v2_r21_not_2,0.457
48,afsample_v2_r21_not_3,0.448
49,afsample_v2_r21_not_4,0.452
50,deepmsa2_0_0,0.431
51,deepmsa2_0_1,0.429
52,deepmsa2_0_2,0.423
53,deepmsa2_0_3,0.423
54,deepmsa2_0_4,0.428
55,deepmsa2_1_0,0.425
56,deepmsa2_1_1,0.42
57,deepmsa2_1_2,0.421
58,deepmsa2_1_3,0.422
59,deepmsa2_1_4,0.426
60,deepmsa2_10_0,0.4
61,deepmsa2_10_1,0.413
62,deepmsa2_10_2,0.426
63,deepmsa2_10_3,0.442
64,deepmsa2_10_4,0.427
65,deepmsa2_11_0,0.442
66,deepmsa2_11_1,0.431
67,deepmsa2_11_2,0.434
68,deepmsa2_11_3,0.433
69,deepmsa2_11_4,0.439
70,deepmsa2_12_0,0.427
71,deepmsa2_12_1,0.431
72,deepmsa2_12_2,0.426
73,deepmsa2_12_3,0.421
74,deepmsa2_12_4,0.424
75,deepmsa2_13_0,0.434
76,deepmsa2_13_1,0.435
77,deepmsa2_13_2,0.436
78,deepmsa2_13_3,0.428
79,deepmsa2_13_4,0.441
80,deepmsa2_14_0,0.417
81,deepmsa2_14_1,0.434
82,deepmsa2_14_2,0.428
83,deepmsa2_14_3,0.429
84,deepmsa2_14_4,0.422
85,deepmsa2_15_0,0.437
86,deepmsa2_15_1,0.441
87,deepmsa2_15_2,0.434
88,deepmsa2_15_3,0.434
89,deepmsa2_15_4,0.438
90,deepmsa2_2_0,0.417
91,deepmsa2_2_1,0.424
92,deepmsa2_2_2,0.428
93,deepmsa2_2_3,0.424
94,deepmsa2_2_4,0.423
95,deepmsa2_3_0,0.423
96,deepmsa2_3_1,0.427
97,deepmsa2_3_2,0.424
98,deepmsa2_3_3,0.423
99,deepmsa2_3_4,0.423
100,deepmsa2_4_0,0.444
101,deepmsa2_4_1,0.422
102,deepmsa2_4_2,0.422
103,deepmsa2_4_3,0.422
104,deepmsa2_4_4,0.424
105,deepmsa2_5_0,0.439
106,deepmsa2_5_1,0.427
107,deepmsa2_5_2,0.426
108,deepmsa2_5_3,0.432
109,deepmsa2_5_4,0.432
110,def_mul_comp_0,0.421
111,def_mul_comp_1,0.428
112,def_mul_comp_2,0.427
113,def_mul_comp_3,0.424
114,def_mul_comp_4,0.422
115,def_mul_drop_nos_0,0.437
116,def_mul_drop_nos_1,0.433
117,def_mul_drop_nos_2,0.435
118,def_mul_drop_nos_3,0.435
119,def_mul_drop_nos_4,0.438
120,def_mul_drop_s_0,0.434
121,def_mul_drop_s_1,0.427
122,def_mul_drop_s_2,0.427
123,def_mul_drop_s_3,0.437
124,def_mul_drop_s_4,0.439
125,def_mul_esm_msa_0,0.432
126,def_mul_esm_msa_1,0.433
127,def_mul_esm_msa_2,0.431
128,def_mul_esm_msa_3,0.431
129,def_mul_esm_msa_4,0.424
130,def_mul_nopair_0,0.441
131,def_mul_nopair_1,0.444
132,def_mul_nopair_2,0.421
133,def_mul_nopair_3,0.444
134,def_mul_nopair_4,0.43
135,def_mul_not_drop_nos_0,0.414
136,def_mul_not_drop_nos_1,0.416
137,def_mul_not_drop_nos_2,0.383
138,def_mul_not_drop_nos_3,0.401
139,def_mul_not_drop_nos_4,0.369
140,def_mul_not_drop_s_0,0.441
141,def_mul_not_drop_s_1,0.455
142,def_mul_not_drop_s_2,0.32
143,def_mul_not_drop_s_3,0.398
144,def_mul_not_drop_s_4,0.372
145,def_mul_notemp_0,0.365
146,def_mul_notemp_1,0.375
147,def_mul_notemp_2,0.412
148,def_mul_notemp_3,0.347
149,def_mul_notemp_4,0.347
150,def_mul_pdb_0,0.41
151,def_mul_pdb_1,0.408
152,def_mul_pdb_2,0.431
153,def_mul_pdb_3,0.436
154,def_mul_pdb_4,0.431
155,def_mul_pdb70_0,0.418
156,def_mul_pdb70_1,0.406
157,def_mul_pdb70_2,0.421
158,def_mul_pdb70_3,0.426
159,def_mul_pdb70_4,0.423
160,def_mul_struct_0,0.45
161,def_mul_struct_1,0.442
162,def_mul_struct_2,0.434
163,def_mul_struct_3,0.436
164,def_mul_struct_4,0.44
165,default_multimer_0,0.424
166,default_multimer_1,0.439
167,default_multimer_2,0.439
168,default_multimer_3,0.437
169,default_multimer_4,0.442
170,folds_iter_1_0,0.403
171,folds_iter_1_1,0.404
172,folds_iter_1_2,0.436
173,folds_iter_1_3,0.404
174,folds_iter_1_4,0.435
175,folds_iter_2_0,0.44
176,folds_iter_2_1,0.4
177,folds_iter_2_2,0.454
178,folds_iter_2_3,0.437
179,folds_iter_2_4,0.433
180,folds_iter_esm_1_0,0.433
181,folds_iter_esm_1_1,0.436
182,folds_iter_esm_1_2,0.429
183,folds_iter_esm_1_3,0.433
184,folds_iter_esm_1_4,0.429
185,pdb_inter_prot_sto_0,0.433
186,pdb_inter_prot_sto_1,0.433
187,pdb_inter_prot_sto_2,0.435
188,pdb_inter_prot_sto_3,0.433
189,pdb_inter_prot_sto_4,0.431
190,pdb_inter_ref_a3m_0,0.411
191,pdb_inter_ref_a3m_1,0.401
192,pdb_inter_ref_a3m_2,0.405
193,pdb_inter_ref_a3m_3,0.429
194,pdb_inter_ref_a3m_4,0.422
195,pdb_inter_ref_sto_0,0.435
196,pdb_inter_ref_sto_1,0.433
197,pdb_inter_ref_sto_2,0.443
198,pdb_inter_ref_sto_3,0.422
199,pdb_inter_ref_sto_4,0.427
200,spec_comp_0,0.428
201,spec_comp_1,0.415
202,spec_comp_2,0.419
