,model,tmscore
0,af3_jian_0,0.555
1,af3_jian_1,0.576
2,af3_jian_2,0.557
3,af3_jian_3,0.54
4,af3_jian_4,0.559
5,af3_jian_5,0.595
6,af3_jian_6,0.566
7,af3_jian_7,0.582
8,af3_jian_8,0.57
9,af3_jian_9,0.557
10,af3_pawan_0,0.539
11,af3_pawan_1,0.58
12,af3_pawan_2,0.549
13,af3_pawan_3,0.554
14,af3_pawan_4,0.538
15,af3_pawan_5,0.558
16,af3_pawan_6,0.56
17,af3_pawan_7,0.562
18,af3_pawan_8,0.559
19,af3_pawan_9,0.555
20,afsample_v1_0,0.561
21,afsample_v1_1,0.566
22,afsample_v1_2,0.57
23,afsample_v1_3,0.564
24,afsample_v1_4,0.558
25,afsample_v1_not_0,0.564
26,afsample_v1_not_1,0.539
27,afsample_v1_not_2,0.556
28,afsample_v1_not_3,0.549
29,afsample_v1_not_4,0.557
30,afsample_v1_r21_not_0,0.553
31,afsample_v1_r21_not_1,0.553
32,afsample_v1_r21_not_2,0.558
33,afsample_v1_r21_not_3,0.555
34,afsample_v1_r21_not_4,0.557
35,afsample_v2_0,0.568
36,afsample_v2_1,0.618
37,afsample_v2_2,0.592
38,afsample_v2_3,0.576
39,afsample_v2_4,0.615
40,afsample_v2_not_0,0.556
41,afsample_v2_not_1,0.557
42,afsample_v2_not_2,0.566
43,afsample_v2_not_3,0.569
44,afsample_v2_not_4,0.594
45,afsample_v2_r21_not_0,0.552
46,afsample_v2_r21_not_1,0.577
47,afsample_v2_r21_not_2,0.58
48,afsample_v2_r21_not_3,0.592
49,afsample_v2_r21_not_4,0.576
50,colabfold_casp16_web_0,0.578
51,colabfold_casp16_web_1,0.563
52,colabfold_casp16_web_2,0.557
53,colabfold_casp16_web_3,0.549
54,colabfold_casp16_web_4,0.546
55,colabfold_casp16_web_not_0,0.537
56,colabfold_casp16_web_not_1,0.565
57,colabfold_casp16_web_not_2,0.594
58,colabfold_casp16_web_not_3,0.565
59,colabfold_casp16_web_not_4,0.577
60,deepmsa2_0_0,0.585
61,deepmsa2_0_1,0.594
62,deepmsa2_0_2,0.556
63,deepmsa2_0_3,0.574
64,deepmsa2_0_4,0.579
65,deepmsa2_1_0,0.624
66,deepmsa2_1_1,0.609
67,deepmsa2_1_2,0.624
68,deepmsa2_1_3,0.606
69,deepmsa2_1_4,0.56
70,deepmsa2_2_0,0.615
71,deepmsa2_2_1,0.593
72,deepmsa2_2_2,0.554
73,deepmsa2_2_3,0.583
74,deepmsa2_2_4,0.574
75,deepmsa2_3_0,0.627
76,deepmsa2_3_1,0.62
77,deepmsa2_3_2,0.625
78,deepmsa2_3_3,0.56
79,deepmsa2_3_4,0.551
80,deepmsa2_4_0,0.608
81,deepmsa2_4_1,0.612
82,deepmsa2_4_2,0.594
83,deepmsa2_4_3,0.586
84,deepmsa2_4_4,0.601
85,deepmsa2_5_0,0.607
86,deepmsa2_5_1,0.594
87,deepmsa2_5_2,0.586
88,deepmsa2_5_3,0.596
89,deepmsa2_5_4,0.556
90,deepmsa2_6_0,0.606
91,deepmsa2_6_1,0.608
92,deepmsa2_6_2,0.601
93,deepmsa2_6_3,0.606
94,deepmsa2_6_4,0.6
95,deepmsa2_7_0,0.61
96,deepmsa2_7_1,0.611
97,deepmsa2_7_2,0.556
98,deepmsa2_7_3,0.621
99,deepmsa2_7_4,0.591
100,def_mul_comp_0,0.539
101,def_mul_comp_1,0.554
102,def_mul_comp_2,0.548
103,def_mul_comp_3,0.533
104,def_mul_comp_4,0.554
105,def_mul_drop_nos_0,0.549
106,def_mul_drop_nos_1,0.55
107,def_mul_drop_nos_2,0.561
108,def_mul_drop_nos_3,0.588
109,def_mul_drop_nos_4,0.543
110,def_mul_drop_s_0,0.566
111,def_mul_drop_s_1,0.587
112,def_mul_drop_s_2,0.571
113,def_mul_drop_s_3,0.562
114,def_mul_drop_s_4,0.538
115,def_mul_esm_msa_0,0.556
116,def_mul_esm_msa_1,0.535
117,def_mul_esm_msa_2,0.552
118,def_mul_esm_msa_3,0.556
119,def_mul_esm_msa_4,0.552
120,def_mul_nopair_0,0.563
121,def_mul_nopair_1,0.559
122,def_mul_nopair_2,0.555
123,def_mul_nopair_3,0.566
124,def_mul_nopair_4,0.565
125,def_mul_not_drop_nos_0,0.576
126,def_mul_not_drop_nos_1,0.577
127,def_mul_not_drop_nos_2,0.575
128,def_mul_not_drop_nos_3,0.545
129,def_mul_not_drop_nos_4,0.525
130,def_mul_not_drop_s_0,0.526
131,def_mul_not_drop_s_1,0.588
132,def_mul_not_drop_s_2,0.524
133,def_mul_not_drop_s_3,0.549
134,def_mul_not_drop_s_4,0.525
135,def_mul_notemp_0,0.533
136,def_mul_notemp_1,0.529
137,def_mul_notemp_2,0.553
138,def_mul_notemp_3,0.574
139,def_mul_notemp_4,0.52
140,def_mul_pdb_0,0.567
