,model,tmscore
0,af3_jian_0,0.379
1,af3_jian_1,0.378
2,af3_jian_2,0.39
3,af3_jian_3,0.398
4,af3_jian_4,0.392
5,af3_jian_5,0.396
6,af3_jian_6,0.407
7,af3_jian_7,0.4
8,af3_jian_8,0.396
9,af3_jian_9,0.396
10,af3_pawan_0,0.423
11,af3_pawan_1,0.392
12,af3_pawan_2,0.413
13,af3_pawan_3,0.423
14,af3_pawan_4,0.438
15,af3_pawan_5,0.45
16,af3_pawan_6,0.411
17,af3_pawan_7,0.415
18,af3_pawan_8,0.441
19,af3_pawan_9,0.477
20,afsample_v1_0,0.062
21,afsample_v1_1,0.057
22,afsample_v1_2,0.07
23,afsample_v1_3,0.065
24,afsample_v1_4,0.061
25,afsample_v1_not_0,0.068
26,afsample_v1_not_1,0.068
27,afsample_v1_not_2,0.055
28,afsample_v1_not_3,0.06
29,afsample_v1_not_4,0.072
30,afsample_v1_r21_not_0,0.055
31,afsample_v1_r21_not_1,0.057
32,afsample_v1_r21_not_2,0.061
33,afsample_v1_r21_not_3,0.059
34,afsample_v1_r21_not_4,0.066
35,afsample_v2_0,0.072
36,afsample_v2_1,0.106
37,afsample_v2_2,0.1
38,afsample_v2_3,0.064
39,afsample_v2_4,0.062
40,afsample_v2_not_0,0.101
41,afsample_v2_not_1,0.098
42,afsample_v2_not_2,0.085
43,afsample_v2_not_3,0.102
44,afsample_v2_not_4,0.11
45,afsample_v2_r21_not_0,0.052
46,afsample_v2_r21_not_1,0.077
47,afsample_v2_r21_not_2,0.086
48,afsample_v2_r21_not_3,0.062
49,afsample_v2_r21_not_4,0.086
50,deepmsa2_0_0,0.058
51,deepmsa2_0_1,0.712
52,deepmsa2_0_2,0.085
53,deepmsa2_0_3,0.09
54,deepmsa2_0_4,0.056
55,deepmsa2_1_0,0.117
56,deepmsa2_1_1,0.134
57,deepmsa2_1_2,0.128
58,deepmsa2_1_3,0.049
59,deepmsa2_1_4,0.058
60,deepmsa2_10_0,0.819
61,deepmsa2_10_1,0.809
62,deepmsa2_10_2,0.07
63,deepmsa2_10_3,0.127
64,deepmsa2_10_4,0.102
65,deepmsa2_11_0,0.058
66,deepmsa2_11_1,0.11
67,deepmsa2_11_2,0.117
68,deepmsa2_11_3,0.063
69,deepmsa2_11_4,0.116
70,deepmsa2_12_0,0.156
71,deepmsa2_12_1,0.057
72,deepmsa2_12_2,0.128
73,deepmsa2_12_3,0.129
74,deepmsa2_12_4,0.121
75,deepmsa2_13_0,0.133
76,deepmsa2_13_1,0.113
77,deepmsa2_13_2,0.596
78,deepmsa2_13_3,0.126
79,deepmsa2_13_4,0.114
80,deepmsa2_14_0,0.17
81,deepmsa2_14_1,0.069
82,deepmsa2_14_2,0.052
83,deepmsa2_14_3,0.058
84,deepmsa2_14_4,0.062
85,deepmsa2_15_0,0.378
86,deepmsa2_15_1,0.153
87,deepmsa2_15_2,0.077
88,deepmsa2_15_3,0.064
89,deepmsa2_15_4,0.076
90,deepmsa2_2_0,0.112
91,deepmsa2_2_1,0.111
92,deepmsa2_2_2,0.072
93,deepmsa2_2_3,0.072
94,deepmsa2_2_4,0.08
95,deepmsa2_3_0,0.127
96,deepmsa2_3_1,0.074
97,deepmsa2_3_2,0.076
98,deepmsa2_3_3,0.068
99,deepmsa2_3_4,0.086
100,deepmsa2_4_0,0.062
101,deepmsa2_4_1,0.069
102,deepmsa2_4_2,0.051
103,deepmsa2_4_3,0.07
104,deepmsa2_4_4,0.059
105,deepmsa2_5_0,0.175
106,deepmsa2_5_1,0.058
107,deepmsa2_5_2,0.083
108,deepmsa2_5_3,0.073
109,deepmsa2_5_4,0.078
110,deepmsa2_6_0,0.131
111,deepmsa2_6_1,0.118
112,deepmsa2_6_2,0.076
113,deepmsa2_6_3,0.075
114,deepmsa2_6_4,0.071
115,deepmsa2_7_0,0.125
116,deepmsa2_7_1,0.519
117,deepmsa2_7_2,0.07
118,deepmsa2_7_3,0.115
119,deepmsa2_7_4,0.049
120,deepmsa2_8_0,0.122
121,deepmsa2_8_1,0.058
122,deepmsa2_8_2,0.049
123,deepmsa2_8_3,0.073
124,deepmsa2_8_4,0.083
125,deepmsa2_9_0,0.107
126,deepmsa2_9_1,0.061
127,deepmsa2_9_2,0.137
128,deepmsa2_9_3,0.166
129,deepmsa2_9_4,0.078
130,def_mul_comp_0,0.072
131,def_mul_comp_1,0.114
132,def_mul_comp_2,0.072
133,def_mul_comp_3,0.066
134,def_mul_comp_4,0.112
135,def_mul_drop_nos_0,0.113
136,def_mul_drop_nos_1,0.064
137,def_mul_drop_nos_2,0.094
138,def_mul_drop_nos_3,0.118
139,def_mul_drop_nos_4,0.099
140,def_mul_drop_s_0,0.109
141,def_mul_drop_s_1,0.067
142,def_mul_drop_s_2,0.224
143,def_mul_drop_s_3,0.115
144,def_mul_drop_s_4,0.051
145,def_mul_esm_msa_0,0.066
146,def_mul_esm_msa_1,0.058
147,def_mul_esm_msa_2,0.065
148,def_mul_esm_msa_3,0.052
