,model,tmscore
0,af3_jian_0,0.02
1,af3_jian_1,0.019
2,af3_jian_2,0.02
3,af3_jian_3,0.02
4,af3_jian_4,0.02
5,af3_jian_5,0.02
6,af3_jian_6,0.019
7,af3_jian_7,0.021
8,af3_jian_8,0.021
9,af3_jian_9,0.019
10,af3_pawan_0,0.02
11,af3_pawan_1,0.019
12,af3_pawan_2,0.02
13,af3_pawan_3,0.02
14,af3_pawan_4,0.019
15,af3_pawan_5,0.019
16,af3_pawan_6,0.02
17,af3_pawan_7,0.019
18,af3_pawan_8,0.02
19,af3_pawan_9,0.019
20,afsample_v1_0,0.019
21,afsample_v1_1,0.019
22,afsample_v1_2,0.02
23,afsample_v1_3,0.019
24,afsample_v1_4,0.021
25,afsample_v1_not_0,0.019
26,afsample_v1_not_1,0.02
27,afsample_v1_not_2,0.021
28,afsample_v1_not_3,0.019
29,afsample_v1_not_4,0.019
30,afsample_v1_r21_not_0,0.017
31,afsample_v1_r21_not_1,0.019
32,afsample_v1_r21_not_2,0.018
33,afsample_v1_r21_not_3,0.017
34,afsample_v1_r21_not_4,0.019
35,afsample_v2_0,0.018
36,afsample_v2_1,0.018
37,afsample_v2_2,0.018
38,afsample_v2_3,0.017
39,afsample_v2_4,0.017
40,afsample_v2_not_0,0.018
41,afsample_v2_not_1,0.017
42,afsample_v2_not_2,0.018
43,afsample_v2_not_3,0.018
44,afsample_v2_not_4,0.017
45,afsample_v2_r21_not_0,0.018
46,afsample_v2_r21_not_1,0.018
47,afsample_v2_r21_not_2,0.018
48,afsample_v2_r21_not_3,0.018
49,afsample_v2_r21_not_4,0.017
50,deepmsa2_0_0,0.018
51,deepmsa2_0_1,0.018
52,deepmsa2_0_2,0.018
53,deepmsa2_0_3,0.017
54,deepmsa2_0_4,0.018
55,deepmsa2_1_0,0.018
56,deepmsa2_1_1,0.018
57,deepmsa2_1_2,0.018
58,deepmsa2_1_3,0.018
59,deepmsa2_1_4,0.018
60,deepmsa2_10_0,0.019
61,deepmsa2_10_1,0.019
62,deepmsa2_10_2,0.017
63,deepmsa2_10_3,0.019
64,deepmsa2_10_4,0.019
65,deepmsa2_11_0,0.019
66,deepmsa2_11_1,0.019
67,deepmsa2_11_2,0.018
68,deepmsa2_11_3,0.017
69,deepmsa2_11_4,0.017
70,deepmsa2_12_0,0.018
71,deepmsa2_12_1,0.017
72,deepmsa2_12_2,0.017
73,deepmsa2_12_3,0.017
74,deepmsa2_12_4,0.017
75,deepmsa2_13_0,0.018
76,deepmsa2_13_1,0.017
77,deepmsa2_13_2,0.017
78,deepmsa2_13_3,0.017
79,deepmsa2_13_4,0.017
80,deepmsa2_14_0,0.017
81,deepmsa2_14_1,0.017
82,deepmsa2_14_2,0.017
83,deepmsa2_14_3,0.017
84,deepmsa2_14_4,0.017
85,deepmsa2_15_0,0.018
86,deepmsa2_15_1,0.017
87,deepmsa2_15_2,0.017
88,deepmsa2_15_3,0.017
89,deepmsa2_15_4,0.018
90,deepmsa2_2_0,0.017
91,deepmsa2_2_1,0.017
92,deepmsa2_2_2,0.018
93,deepmsa2_2_3,0.017
94,deepmsa2_2_4,0.017
95,deepmsa2_3_0,0.018
96,deepmsa2_3_1,0.017
97,deepmsa2_3_2,0.018
98,deepmsa2_3_3,0.017
99,deepmsa2_3_4,0.018
100,deepmsa2_4_0,0.017
101,deepmsa2_4_1,0.016
102,deepmsa2_4_2,0.017
103,deepmsa2_4_3,0.017
104,deepmsa2_4_4,0.017
105,deepmsa2_5_0,0.017
106,deepmsa2_5_1,0.017
107,deepmsa2_5_2,0.018
108,deepmsa2_5_3,0.018
109,deepmsa2_5_4,0.017
110,deepmsa2_6_0,0.017
111,deepmsa2_6_1,0.018
112,deepmsa2_6_2,0.017
113,deepmsa2_6_3,0.021
114,deepmsa2_6_4,0.017
115,deepmsa2_7_0,0.017
116,deepmsa2_7_1,0.017
117,deepmsa2_7_2,0.017
118,deepmsa2_7_3,0.017
119,deepmsa2_7_4,0.017
120,deepmsa2_8_0,0.017
121,deepmsa2_8_1,0.017
122,deepmsa2_8_2,0.017
123,deepmsa2_8_3,0.019
124,deepmsa2_8_4,0.019
125,deepmsa2_9_0,0.018
126,deepmsa2_9_1,0.019
127,deepmsa2_9_2,0.017
128,deepmsa2_9_3,0.019
129,deepmsa2_9_4,0.017
130,def_mul_comp_0,0.018
131,def_mul_comp_1,0.018
132,def_mul_comp_2,0.018
133,def_mul_comp_3,0.018
134,def_mul_comp_4,0.018
135,def_mul_drop_nos_0,0.018
136,def_mul_drop_nos_1,0.018
137,def_mul_drop_nos_2,0.018
138,def_mul_drop_nos_3,0.017
139,def_mul_drop_nos_4,0.018
140,def_mul_drop_s_0,0.018
141,def_mul_drop_s_1,0.018
142,def_mul_drop_s_2,0.019
143,def_mul_drop_s_3,0.018
144,def_mul_drop_s_4,0.017
145,def_mul_esm_msa_0,0.017
146,def_mul_esm_msa_1,0.018
147,def_mul_esm_msa_2,0.017
148,def_mul_esm_msa_3,0.017
149,def_mul_esm_msa_4,0.018
150,def_mul_nopair_0,0.018
151,def_mul_nopair_1,0.018
152,def_mul_nopair_2,0.018
153,def_mul_nopair_3,0.018
154,def_mul_nopair_4,0.017
155,def_mul_not_drop_nos_0,0.018
156,def_mul_not_drop_nos_1,0.018
157,def_mul_not_drop_nos_2,0.018
158,def_mul_not_drop_nos_3,0.018
159,def_mul_not_drop_nos_4,0.018
160,def_mul_not_drop_s_0,0.018
161,def_mul_not_drop_s_1,0.018
162,def_mul_not_drop_s_2,0.018
163,def_mul_not_drop_s_3,0.018
164,def_mul_not_drop_s_4,0.018
165,def_mul_notemp_0,0.018
166,def_mul_notemp_1,0.018
167,def_mul_notemp_2,0.018
168,def_mul_notemp_3,0.018
169,def_mul_notemp_4,0.018
170,def_mul_pdb_0,0.018
171,def_mul_pdb_1,0.018
172,def_mul_pdb_2,0.018
173,def_mul_pdb_3,0.018
174,def_mul_pdb_4,0.018
175,def_mul_pdb70_0,0.018
176,def_mul_pdb70_1,0.018
177,def_mul_pdb70_2,0.018
178,def_mul_pdb70_3,0.018
179,def_mul_pdb70_4,0.018
180,def_mul_struct_0,0.018
181,def_mul_struct_1,0.018
182,def_mul_struct_2,0.018
183,def_mul_struct_3,0.018
184,def_mul_struct_4,0.018
185,default_multimer_0,0.018
186,default_multimer_1,0.018
187,default_multimer_2,0.017
188,default_multimer_3,0.018
189,default_multimer_4,0.018
190,folds_iter_1_0,0.018
191,folds_iter_1_1,0.017
192,folds_iter_1_2,0.017
193,folds_iter_1_3,0.017
194,folds_iter_1_4,0.017
195,folds_iter_2_0,0.017
196,folds_iter_2_1,0.018
197,folds_iter_2_2,0.017
198,folds_iter_2_3,0.017
199,folds_iter_2_4,0.017
200,folds_iter_esm_1_0,0.018
201,folds_iter_esm_1_1,0.018
202,folds_iter_esm_1_2,0.018
203,folds_iter_esm_1_3,0.018
204,folds_iter_esm_1_4,0.017
205,folds_iter_esm_2_0,0.017
206,folds_iter_esm_2_1,0.018
207,folds_iter_esm_2_2,0.018
208,folds_iter_esm_2_3,0.018
209,folds_iter_esm_2_4,0.018
210,folds_iter_esm_nop_1_0,0.017
211,folds_iter_esm_nop_1_1,0.017
212,folds_iter_esm_nop_1_2,0.018
213,folds_iter_esm_nop_1_3,0.017
214,folds_iter_esm_nop_1_4,0.017
215,folds_iter_esm_nop_2_0,0.018
216,folds_iter_esm_nop_2_1,0.018
217,folds_iter_esm_nop_2_2,0.017
218,folds_iter_esm_nop_2_3,0.018
219,folds_iter_esm_nop_2_4,0.017
220,folds_iter_esm_not_1_0,0.018
221,folds_iter_esm_not_1_1,0.018
222,folds_iter_esm_not_1_2,0.018
223,folds_iter_esm_not_1_3,0.018
224,folds_iter_esm_not_1_4,0.018
225,folds_iter_esm_not_2_0,0.019
226,folds_iter_esm_not_2_1,0.018
227,folds_iter_esm_not_2_2,0.019
228,folds_iter_esm_not_2_3,0.018
229,folds_iter_esm_not_2_4,0.018
230,folds_iter_esm_notp_1_0,0.018
231,folds_iter_esm_notp_1_1,0.019
232,folds_iter_esm_notp_1_2,0.018
233,folds_iter_esm_notp_1_3,0.018
234,folds_iter_esm_notp_1_4,0.018
235,folds_iter_esm_notp_2_0,0.018
236,folds_iter_esm_notp_2_1,0.018
237,folds_iter_esm_notp_2_2,0.018
238,folds_iter_esm_notp_2_3,0.018
239,folds_iter_esm_notp_2_4,0.018
240,folds_iter_nop_1_0,0.018
241,folds_iter_nop_1_1,0.017
242,folds_iter_nop_1_2,0.018
243,folds_iter_nop_1_3,0.018
244,folds_iter_nop_1_4,0.017
245,folds_iter_nop_2_0,0.017
246,folds_iter_nop_2_1,0.018
247,folds_iter_nop_2_2,0.017
248,folds_iter_nop_2_3,0.017
249,folds_iter_nop_2_4,0.017
250,folds_iter_not_1_0,0.018
251,folds_iter_not_1_1,0.019
252,folds_iter_not_1_2,0.018
253,folds_iter_not_1_3,0.018
254,folds_iter_not_1_4,0.018
255,folds_iter_not_2_0,0.019
256,folds_iter_not_2_1,0.019
257,folds_iter_not_2_2,0.018
258,folds_iter_not_2_3,0.018
259,folds_iter_not_2_4,0.018
260,folds_iter_notp_1_0,0.018
261,folds_iter_notp_1_1,0.019
262,folds_iter_notp_1_2,0.018
263,folds_iter_notp_1_3,0.018
264,folds_iter_notp_1_4,0.018
265,folds_iter_notp_2_0,0.018
266,folds_iter_notp_2_1,0.018
267,folds_iter_notp_2_2,0.019
268,folds_iter_notp_2_3,0.018
269,folds_iter_notp_2_4,0.018
270,pdb_inter_prot_sto_0,0.018
271,pdb_inter_prot_sto_1,0.017
272,pdb_inter_prot_sto_2,0.018
273,pdb_inter_prot_sto_3,0.017
274,pdb_inter_prot_sto_4,0.017
275,pdb_inter_ref_a3m_0,0.017
276,pdb_inter_ref_a3m_1,0.017
277,pdb_inter_ref_a3m_2,0.017
278,pdb_inter_ref_a3m_3,0.017
279,pdb_inter_ref_a3m_4,0.018
280,pdb_inter_ref_sto_0,0.017
281,pdb_inter_ref_sto_1,0.017
282,pdb_inter_ref_sto_2,0.017
283,pdb_inter_ref_sto_3,0.017
284,pdb_inter_ref_sto_4,0.017
285,spec_comp_0,0.018
286,spec_comp_1,0.018
287,spec_comp_2,0.018
288,spec_comp_3,0.018
289,spec_comp_4,0.018
290,spec_inter_prot_sto_0,0.017
291,spec_inter_prot_sto_1,0.016
292,spec_inter_prot_sto_2,0.017
293,spec_inter_prot_sto_3,0.017
294,spec_inter_prot_sto_4,0.017
295,spec_inter_ref_a3m_0,0.018
296,spec_inter_ref_a3m_1,0.019
297,spec_inter_ref_a3m_2,0.018
298,spec_inter_ref_a3m_3,0.018
299,spec_inter_ref_a3m_4,0.018
300,spec_inter_ref_sto_0,0.017
301,spec_inter_ref_sto_1,0.018
302,spec_inter_ref_sto_2,0.018
303,spec_inter_ref_sto_3,0.017
304,spec_inter_ref_sto_4,0.017
305,spec_pdb_0,0.018
