,model,tmscore
0,af3_jian_0,0.125
1,af3_jian_1,0.138
2,af3_jian_2,0.127
3,af3_jian_3,0.133
4,af3_jian_4,0.127
5,af3_pawan_0,0.123
6,af3_pawan_1,0.129
7,af3_pawan_2,0.122
8,af3_pawan_3,0.119
9,af3_pawan_4,0.126
10,afsample_v1_0,0.876
11,afsample_v1_1,0.818
12,afsample_v1_2,0.875
13,afsample_v1_3,0.778
14,afsample_v1_4,0.791
15,afsample_v1_not_0,0.898
16,afsample_v1_not_1,0.892
17,afsample_v1_not_2,0.87
18,afsample_v1_not_3,0.866
19,afsample_v1_not_4,0.788
20,afsample_v1_r21_not_0,0.865
21,afsample_v1_r21_not_1,0.869
22,afsample_v1_r21_not_2,0.874
23,afsample_v1_r21_not_3,0.865
24,afsample_v1_r21_not_4,0.863
25,afsample_v2_0,0.013
26,afsample_v2_1,0.013
27,afsample_v2_2,0.175
28,afsample_v2_3,0.016
29,afsample_v2_4,0.175
30,afsample_v2_not_0,0.013
31,afsample_v2_not_1,0.179
32,afsample_v2_not_2,0.013
33,afsample_v2_not_3,0.174
34,afsample_v2_not_4,0.124
35,afsample_v2_r21_not_0,0.144
36,afsample_v2_r21_not_1,0.163
37,afsample_v2_r21_not_2,0.164
38,afsample_v2_r21_not_3,0.164
39,afsample_v2_r21_not_4,0.164
40,deepmsa2_0_0,0.013
41,deepmsa2_0_1,0.027
42,deepmsa2_0_2,0.041
43,deepmsa2_0_3,0.028
44,deepmsa2_0_4,0.028
45,deepmsa2_1_0,0.013
46,deepmsa2_1_1,0.034
47,deepmsa2_1_2,0.027
48,deepmsa2_1_3,0.034
49,deepmsa2_1_4,0.035
50,deepmsa2_10_0,0.013
51,deepmsa2_10_1,0.071
52,deepmsa2_10_2,0.034
53,deepmsa2_10_3,0.033
54,deepmsa2_10_4,0.055
55,deepmsa2_11_0,0.013
56,deepmsa2_11_1,0.16
57,deepmsa2_11_2,0.027
58,deepmsa2_11_3,0.033
59,deepmsa2_11_4,0.027
60,deepmsa2_12_0,0.013
61,deepmsa2_12_1,0.033
62,deepmsa2_12_2,0.025
63,deepmsa2_12_3,0.025
64,deepmsa2_12_4,0.026
65,deepmsa2_13_0,0.013
66,deepmsa2_13_1,0.024
67,deepmsa2_13_2,0.024
68,deepmsa2_13_3,0.145
69,deepmsa2_13_4,0.027
70,deepmsa2_14_0,0.026
71,deepmsa2_14_1,0.026
72,deepmsa2_14_2,0.033
73,deepmsa2_14_3,0.033
74,deepmsa2_14_4,0.033
75,deepmsa2_15_0,0.033
76,deepmsa2_15_1,0.033
77,deepmsa2_15_2,0.033
78,deepmsa2_15_3,0.026
79,deepmsa2_15_4,0.026
80,deepmsa2_2_0,0.013
81,deepmsa2_2_1,0.013
82,deepmsa2_2_2,0.013
83,deepmsa2_2_3,0.013
84,deepmsa2_2_4,0.013
85,deepmsa2_3_0,0.013
86,deepmsa2_3_1,0.013
87,deepmsa2_3_2,0.013
88,deepmsa2_3_3,0.046
89,deepmsa2_3_4,0.015
90,deepmsa2_4_0,0.025
