,model,tmscore
0,af3_jian_0,0.217
1,af3_jian_1,0.316
2,af3_jian_2,0.189
3,af3_jian_3,0.661
4,af3_jian_4,0.159
5,af3_jian_5,0.216
6,af3_jian_6,0.228
7,af3_jian_7,0.157
8,af3_jian_8,0.253
9,af3_jian_9,0.275
10,af3_pawan_0,0.222
11,af3_pawan_1,0.158
12,af3_pawan_2,0.208
13,af3_pawan_3,0.142
14,af3_pawan_4,0.184
15,af3_pawan_5,0.197
16,af3_pawan_6,0.197
17,af3_pawan_7,0.166
18,af3_pawan_8,0.228
19,af3_pawan_9,0.269
20,afsample_v1_0,0.154
21,afsample_v1_1,0.141
22,afsample_v1_2,0.057
23,afsample_v1_3,0.062
24,afsample_v1_4,0.071
25,afsample_v1_not_0,0.017
26,afsample_v1_not_1,0.043
27,afsample_v1_not_2,0.064
28,afsample_v1_not_3,0.075
29,afsample_v1_not_4,0.079
30,afsample_v1_r21_not_0,0.221
31,afsample_v1_r21_not_1,0.151
32,afsample_v1_r21_not_2,0.044
33,afsample_v1_r21_not_3,0.15
34,afsample_v1_r21_not_4,0.041
35,afsample_v2_0,0.046
36,afsample_v2_1,0.043
37,afsample_v2_2,0.004
38,afsample_v2_3,0.005
39,afsample_v2_4,0.006
40,afsample_v2_not_0,0.037
41,afsample_v2_not_1,0.016
42,afsample_v2_not_2,0.014
43,afsample_v2_not_3,0.017
44,afsample_v2_not_4,0.008
45,afsample_v2_r21_not_0,0.012
46,afsample_v2_r21_not_1,0.176
47,afsample_v2_r21_not_2,0.115
48,afsample_v2_r21_not_3,0.149
49,afsample_v2_r21_not_4,0.029
50,def_mul_comp_0,0.176
51,def_mul_comp_1,0.053
52,def_mul_comp_2,0.054
53,def_mul_comp_3,0.033
54,def_mul_comp_4,0.043
55,def_mul_drop_nos_0,0.199
56,def_mul_drop_nos_1,0.049
57,def_mul_drop_nos_2,0.038
58,def_mul_drop_nos_3,0.053
59,def_mul_drop_nos_4,0.061
60,def_mul_drop_s_0,0.197
61,def_mul_drop_s_1,0.079
62,def_mul_drop_s_2,0.058
63,def_mul_drop_s_3,0.04
64,def_mul_drop_s_4,0.056
65,def_mul_esm_msa_0,0.166
66,def_mul_esm_msa_1,0.186
67,def_mul_esm_msa_2,0.16
68,def_mul_esm_msa_3,0.031
69,def_mul_esm_msa_4,0.103
70,def_mul_nopair_0,0.196
71,def_mul_nopair_1,0.183
72,def_mul_nopair_2,0.056
73,def_mul_nopair_3,0.069
74,def_mul_nopair_4,0.063
75,def_mul_not_drop_nos_0,0.152
76,def_mul_not_drop_nos_1,0.198
77,def_mul_not_drop_nos_2,0.192
78,def_mul_not_drop_nos_3,0.164
79,def_mul_not_drop_nos_4,0.068
80,def_mul_not_drop_s_0,0.016
81,def_mul_not_drop_s_1,0.073
82,def_mul_not_drop_s_2,0.128
83,def_mul_not_drop_s_3,0.051
84,def_mul_not_drop_s_4,0.047
85,def_mul_notemp_0,0.178
86,def_mul_notemp_1,0.176
87,def_mul_notemp_2,0.177
88,def_mul_notemp_3,0.182
89,def_mul_notemp_4,0.081
90,default_multimer_0,0.156
91,default_multimer_1,0.217
92,default_multimer_2,0.21
93,default_multimer_3,0.263
94,default_multimer_4,0.179
