,model,tmscore
0,af3_jian_0,0.936
1,af3_jian_1,0.936
2,af3_jian_2,0.938
3,af3_jian_3,0.938
4,af3_jian_4,0.937
5,af3_jian_5,0.939
6,af3_jian_6,0.935
7,af3_jian_7,0.938
8,af3_jian_8,0.935
9,af3_jian_9,0.94
10,af3_pawan_0,0.942
11,af3_pawan_1,0.94
12,af3_pawan_2,0.939
13,af3_pawan_3,0.94
14,af3_pawan_4,0.939
15,af3_pawan_5,0.937
16,af3_pawan_6,0.94
17,af3_pawan_7,0.939
18,af3_pawan_8,0.936
19,af3_pawan_9,0.935
20,afsample_v1_0,0.929
21,afsample_v1_1,0.935
22,afsample_v1_2,0.933
23,afsample_v1_3,0.934
24,afsample_v1_4,0.937
25,afsample_v1_not_0,0.935
26,afsample_v1_not_1,0.935
27,afsample_v1_not_2,0.937
28,afsample_v1_not_3,0.936
29,afsample_v1_not_4,0.933
30,afsample_v1_r21_not_0,0.933
31,afsample_v1_r21_not_1,0.934
32,afsample_v1_r21_not_2,0.932
33,afsample_v1_r21_not_3,0.934
34,afsample_v1_r21_not_4,0.933
35,afsample_v2_0,0.942
36,afsample_v2_1,0.942
37,afsample_v2_2,0.943
38,afsample_v2_3,0.941
39,afsample_v2_4,0.94
40,afsample_v2_not_0,0.942
41,afsample_v2_not_1,0.942
42,afsample_v2_not_2,0.942
43,afsample_v2_not_3,0.943
44,afsample_v2_not_4,0.943
45,afsample_v2_r21_not_0,0.94
46,afsample_v2_r21_not_1,0.937
47,afsample_v2_r21_not_2,0.937
48,afsample_v2_r21_not_3,0.938
49,afsample_v2_r21_not_4,0.94
50,colabfold_casp16_web_0,0.941
51,colabfold_casp16_web_1,0.941
52,colabfold_casp16_web_2,0.942
53,colabfold_casp16_web_3,0.942
54,colabfold_casp16_web_4,0.939
55,colabfold_casp16_web_not_0,0.939
56,colabfold_casp16_web_not_1,0.941
57,colabfold_casp16_web_not_2,0.942
58,colabfold_casp16_web_not_3,0.94
59,colabfold_casp16_web_not_4,0.939
60,deepmsa2_0_0,0.923
61,deepmsa2_0_1,0.925
62,deepmsa2_0_2,0.924
63,deepmsa2_0_3,0.919
64,deepmsa2_0_4,0.923
65,deepmsa2_1_0,0.921
66,deepmsa2_1_1,0.923
67,deepmsa2_1_2,0.921
68,deepmsa2_1_3,0.924
69,deepmsa2_1_4,0.924
70,deepmsa2_10_0,0.914
71,deepmsa2_10_1,0.917
72,deepmsa2_10_2,0.914
73,deepmsa2_10_3,0.917
74,deepmsa2_10_4,0.914
75,deepmsa2_11_0,0.914
76,deepmsa2_11_1,0.914
77,deepmsa2_11_2,0.916
78,deepmsa2_11_3,0.916
79,deepmsa2_11_4,0.916
80,deepmsa2_12_0,0.915
81,deepmsa2_12_1,0.917
82,deepmsa2_12_2,0.916
83,deepmsa2_12_3,0.917
84,deepmsa2_12_4,0.917
85,deepmsa2_13_0,0.916
86,deepmsa2_13_1,0.916
87,deepmsa2_13_2,0.918
88,deepmsa2_13_3,0.916
89,deepmsa2_13_4,0.916
90,deepmsa2_14_0,0.915
91,deepmsa2_14_1,0.914
92,deepmsa2_14_2,0.917
93,deepmsa2_14_3,0.915
94,deepmsa2_14_4,0.916
95,deepmsa2_2_0,0.922
96,deepmsa2_2_1,0.924
97,deepmsa2_2_2,0.923
98,deepmsa2_2_3,0.923
99,deepmsa2_2_4,0.923
100,deepmsa2_3_0,0.924
101,deepmsa2_3_1,0.924
102,deepmsa2_3_2,0.921
103,deepmsa2_3_3,0.923
104,deepmsa2_3_4,0.924
105,deepmsa2_4_0,0.925
106,deepmsa2_4_1,0.924
107,deepmsa2_4_2,0.923
108,deepmsa2_4_3,0.919
109,deepmsa2_4_4,0.922
110,deepmsa2_5_0,0.921
111,deepmsa2_5_1,0.923
112,deepmsa2_5_2,0.92
113,deepmsa2_5_3,0.921
114,deepmsa2_5_4,0.922
115,deepmsa2_6_0,0.914
116,deepmsa2_6_1,0.913
117,deepmsa2_6_2,0.914
118,deepmsa2_6_3,0.914
119,deepmsa2_6_4,0.914
120,deepmsa2_7_0,0.914
121,deepmsa2_7_1,0.916
122,deepmsa2_7_2,0.916
123,deepmsa2_7_3,0.915
124,deepmsa2_7_4,0.916
125,deepmsa2_8_0,0.916
126,deepmsa2_8_1,0.914
127,deepmsa2_8_2,0.915
128,deepmsa2_8_3,0.915
129,deepmsa2_8_4,0.915
130,deepmsa2_9_0,0.914
131,deepmsa2_9_1,0.914
132,deepmsa2_9_2,0.917
133,deepmsa2_9_3,0.916
134,deepmsa2_9_4,0.917
135,def_mul_comp_0,0.931
136,def_mul_comp_1,0.936
