,model,tmscore
0,af3_jian_0,0.86
1,af3_jian_1,0.876
2,af3_jian_2,0.877
3,af3_jian_3,0.87
4,af3_jian_4,0.858
5,af3_jian_5,0.869
6,af3_jian_6,0.852
7,af3_jian_7,0.876
8,af3_jian_8,0.869
9,af3_jian_9,0.86
10,af3_pawan_0,0.881
11,af3_pawan_1,0.879
12,af3_pawan_2,0.863
13,af3_pawan_3,0.87
14,af3_pawan_4,0.88
15,af3_pawan_5,0.864
16,af3_pawan_6,0.873
17,af3_pawan_7,0.88
18,af3_pawan_8,0.864
19,af3_pawan_9,0.88
20,afsample_v1_0,0.364
21,afsample_v1_1,0.337
22,afsample_v1_2,0.357
23,afsample_v1_3,0.332
24,afsample_v1_4,0.343
25,afsample_v1_not_0,0.351
26,afsample_v1_not_1,0.352
27,afsample_v1_not_2,0.354
28,afsample_v1_not_3,0.354
29,afsample_v1_not_4,0.356
30,afsample_v1_r21_not_0,0.38
31,afsample_v1_r21_not_1,0.341
32,afsample_v1_r21_not_2,0.35
33,afsample_v1_r21_not_3,0.326
34,afsample_v1_r21_not_4,0.333
35,afsample_v2_0,0.642
36,afsample_v2_1,0.565
37,afsample_v2_2,0.645
38,afsample_v2_3,0.642
39,afsample_v2_4,0.638
40,afsample_v2_not_0,0.64
41,afsample_v2_not_1,0.651
42,afsample_v2_not_2,0.654
43,afsample_v2_not_3,0.648
44,afsample_v2_not_4,0.645
45,afsample_v2_r21_not_0,0.595
46,afsample_v2_r21_not_1,0.639
47,afsample_v2_r21_not_2,0.63
48,afsample_v2_r21_not_3,0.445
49,afsample_v2_r21_not_4,0.646
50,deepmsa2_0_0,0.621
51,deepmsa2_0_1,0.579
52,deepmsa2_0_2,0.578
53,deepmsa2_0_3,0.563
54,deepmsa2_0_4,0.56
55,deepmsa2_1_0,0.58
56,deepmsa2_1_1,0.579
57,deepmsa2_1_2,0.578
58,deepmsa2_1_3,0.577
59,deepmsa2_1_4,0.575
60,deepmsa2_2_0,0.564
61,deepmsa2_2_1,0.56
62,deepmsa2_2_2,0.561
63,deepmsa2_2_3,0.64
64,deepmsa2_2_4,0.613
65,deepmsa2_3_0,0.513
66,deepmsa2_3_1,0.557
67,deepmsa2_3_2,0.553
68,deepmsa2_3_3,0.57
69,deepmsa2_3_4,0.511
70,deepmsa2_4_0,0.553
71,deepmsa2_4_1,0.497
72,deepmsa2_4_2,0.533
73,deepmsa2_4_3,0.546
74,deepmsa2_4_4,0.529
75,deepmsa2_5_0,0.574
76,deepmsa2_5_1,0.566
77,deepmsa2_5_2,0.578
78,deepmsa2_5_3,0.562
79,deepmsa2_5_4,0.621
80,deepmsa2_6_0,0.581
81,deepmsa2_6_1,0.584
82,deepmsa2_6_2,0.583
83,deepmsa2_6_3,0.572
84,deepmsa2_6_4,0.585
85,deepmsa2_7_0,0.579
86,deepmsa2_7_1,0.578
87,deepmsa2_7_2,0.576
88,deepmsa2_7_3,0.561
89,deepmsa2_7_4,0.488
90,def_mul_comp_0,0.541
91,def_mul_comp_1,0.559
92,def_mul_comp_2,0.539
93,def_mul_comp_3,0.528
94,def_mul_comp_4,0.599
95,def_mul_drop_nos_0,0.605
96,def_mul_drop_nos_1,0.612
97,def_mul_drop_nos_2,0.535
98,def_mul_drop_nos_3,0.542
99,def_mul_drop_nos_4,0.601
100,def_mul_drop_s_0,0.668
101,def_mul_drop_s_1,0.557
102,def_mul_drop_s_2,0.541
103,def_mul_drop_s_3,0.551
104,def_mul_drop_s_4,0.531
105,def_mul_esm_msa_0,0.534
106,def_mul_esm_msa_1,0.539
107,def_mul_esm_msa_2,0.54
108,def_mul_esm_msa_3,0.544
109,def_mul_esm_msa_4,0.541
110,def_mul_nopair_0,0.525
111,def_mul_nopair_1,0.539
112,def_mul_nopair_2,0.531
113,def_mul_nopair_3,0.527
114,def_mul_nopair_4,0.541
115,def_mul_not_drop_nos_0,0.554
116,def_mul_not_drop_nos_1,0.571
