,model,tmscore
0,af3_jian_0,0.902
1,af3_jian_1,0.919
2,af3_jian_2,0.919
3,af3_jian_3,0.919
4,af3_jian_4,0.95
5,af3_pawan_0,0.919
6,af3_pawan_1,0.934
7,af3_pawan_2,0.919
8,af3_pawan_3,0.919
9,af3_pawan_4,0.919
10,af3_refine_0,0.569
11,af3_refine_1,0.551
12,af3_refine_2,0.542
13,af3_refine_3,0.58
14,af3_refine_4,0.553
15,afsample_v1_0,0.935
16,afsample_v1_1,0.935
17,afsample_v1_2,0.935
18,afsample_v1_3,0.935
19,afsample_v1_4,0.935
20,afsample_v1_not_0,0.935
21,afsample_v1_not_1,0.935
22,afsample_v1_not_2,0.935
23,afsample_v1_not_3,0.935
24,afsample_v1_not_4,0.967
25,afsample_v1_r21_not_0,0.927
26,afsample_v1_r21_not_1,0.927
27,afsample_v1_r21_not_2,0.927
28,afsample_v1_r21_not_3,0.927
29,afsample_v1_r21_not_4,0.927
30,afsample_v2_0,0.959
31,afsample_v2_1,0.943
32,afsample_v2_2,0.935
33,afsample_v2_3,0.927
34,afsample_v2_4,0.935
35,afsample_v2_not_0,0.927
36,afsample_v2_not_1,0.951
37,afsample_v2_not_2,0.951
38,afsample_v2_not_3,0.951
39,afsample_v2_not_4,0.951
40,afsample_v2_r21_not_0,0.919
41,afsample_v2_r21_not_1,0.935
42,afsample_v2_r21_not_2,0.927
43,afsample_v2_r21_not_3,0.927
44,afsample_v2_r21_not_4,0.935
45,deepmsa2_0_0,0.919
46,deepmsa2_0_1,0.942
47,deepmsa2_0_2,0.942
48,deepmsa2_0_3,0.934
49,deepmsa2_0_4,0.919
50,deepmsa2_1_0,0.943
51,deepmsa2_1_1,0.943
52,deepmsa2_1_2,0.943
53,deepmsa2_1_3,0.959
54,deepmsa2_1_4,0.943
55,deepmsa2_10_0,0.942
56,deepmsa2_10_1,0.959
57,deepmsa2_10_2,0.959
58,deepmsa2_10_3,0.942
59,deepmsa2_10_4,0.95
60,deepmsa2_11_0,0.951
61,deepmsa2_11_1,0.934
62,deepmsa2_11_2,0.95
63,deepmsa2_11_3,0.95
64,deepmsa2_11_4,0.942
65,deepmsa2_12_0,0.95
66,deepmsa2_12_1,0.934
67,deepmsa2_12_2,0.942
68,deepmsa2_12_3,0.942
69,deepmsa2_12_4,0.934
70,deepmsa2_2_0,0.959
71,deepmsa2_2_1,0.935
72,deepmsa2_2_2,0.935
73,deepmsa2_2_3,0.959
74,deepmsa2_2_4,0.935
75,deepmsa2_3_0,0.943
76,deepmsa2_3_1,0.935
77,deepmsa2_3_2,0.943
78,deepmsa2_3_3,0.951
79,deepmsa2_3_4,0.943
80,deepmsa2_4_0,0.959
81,deepmsa2_4_1,0.951
82,deepmsa2_4_2,0.912
83,deepmsa2_4_3,0.935
84,deepmsa2_4_4,0.943
85,deepmsa2_5_0,0.944
86,deepmsa2_5_1,0.919
87,deepmsa2_5_2,0.959
88,deepmsa2_5_3,0.935
89,deepmsa2_5_4,0.95
90,deepmsa2_6_0,0.951
91,deepmsa2_6_1,0.92
92,deepmsa2_6_2,0.92
93,deepmsa2_6_3,0.928
94,deepmsa2_6_4,0.904
95,deepmsa2_7_0,0.942
96,deepmsa2_7_1,0.919
97,deepmsa2_7_2,0.942
98,deepmsa2_7_3,0.934
99,deepmsa2_7_4,0.942
100,deepmsa2_8_0,0.927
101,deepmsa2_8_1,0.935
102,deepmsa2_8_2,0.927
103,deepmsa2_8_3,0.927
104,deepmsa2_8_4,0.927
105,deepmsa2_9_0,0.95
106,deepmsa2_9_1,0.942
107,deepmsa2_9_2,0.934
108,deepmsa2_9_3,0.942
109,deepmsa2_9_4,0.934
110,def_mul_comp_0,0.951
111,def_mul_comp_1,0.951
112,def_mul_comp_2,0.943
113,def_mul_comp_3,0.943
114,def_mul_comp_4,0.951
115,def_mul_drop_nos_0,0.951
116,def_mul_drop_nos_1,0.935
117,def_mul_drop_nos_2,0.935
118,def_mul_drop_nos_3,0.927
119,def_mul_drop_nos_4,0.935
120,def_mul_drop_s_0,0.935
121,def_mul_drop_s_1,0.951
122,def_mul_drop_s_2,0.951
123,def_mul_drop_s_3,0.927
124,def_mul_drop_s_4,0.951
125,def_mul_esm_msa_0,0.943
126,def_mul_esm_msa_1,0.951
127,def_mul_esm_msa_2,0.951
128,def_mul_esm_msa_3,0.935
129,def_mul_esm_msa_4,0.943
130,def_mul_not_drop_nos_0,0.959
131,def_mul_not_drop_nos_1,0.951
132,def_mul_not_drop_nos_2,0.943
133,def_mul_not_drop_nos_3,0.935
134,def_mul_not_drop_nos_4,0.944
135,def_mul_not_drop_s_0,0.943
136,def_mul_not_drop_s_1,0.927
137,def_mul_not_drop_s_2,0.943
138,def_mul_not_drop_s_3,0.943
139,def_mul_not_drop_s_4,0.935
140,def_mul_notemp_0,0.951
141,def_mul_notemp_1,0.951
142,def_mul_notemp_2,0.943
143,def_mul_notemp_3,0.951
144,def_mul_notemp_4,0.935
145,def_mul_pdb_0,0.951
146,def_mul_pdb_1,0.935
147,def_mul_pdb_2,0.943
148,def_mul_pdb_3,0.943
149,def_mul_pdb_4,0.951
150,def_mul_pdb70_0,0.951
151,def_mul_pdb70_1,0.943
152,def_mul_pdb70_2,0.943
153,def_mul_pdb70_3,0.935
154,def_mul_pdb70_4,0.951
155,def_mul_refine_0,0.928
156,def_mul_refine_1,0.943
157,def_mul_refine_2,0.935
158,def_mul_refine_3,0.919
159,def_mul_refine_4,0.935
160,def_mul_struct_0,0.927
161,def_mul_struct_1,0.935
162,def_mul_struct_2,0.927
163,def_mul_struct_3,0.935
164,def_mul_struct_4,0.951
165,def_mul_tmsearch_0,0.951
166,def_mul_tmsearch_1,0.951
167,def_mul_tmsearch_2,0.951
168,def_mul_tmsearch_3,0.951
169,def_mul_tmsearch_4,0.943
170,default_multimer_0,0.951
171,default_multimer_1,0.943
172,default_multimer_2,0.944
173,default_multimer_3,0.951
174,default_multimer_4,0.935
175,folds_iter_1_0,0.927
176,folds_iter_1_1,0.904
177,folds_iter_1_2,0.919
178,folds_iter_1_3,0.927
179,folds_iter_1_4,0.927
180,folds_iter_2_0,0.935
181,folds_iter_2_1,0.951
182,folds_iter_2_2,0.927
183,folds_iter_2_3,0.943
184,folds_iter_2_4,0.943
185,folds_iter_esm_1_0,0.943
186,folds_iter_esm_1_1,0.943
187,folds_iter_esm_1_2,0.935
188,folds_iter_esm_1_3,0.95
189,folds_iter_esm_1_4,0.935
190,folds_iter_esm_2_0,0.935
191,folds_iter_esm_2_1,0.943
192,folds_iter_esm_2_2,0.951
193,folds_iter_esm_2_3,0.951
194,folds_iter_esm_2_4,0.943
195,folds_iter_esm_not_1_0,0.943
196,folds_iter_esm_not_1_1,0.943
197,folds_iter_esm_not_1_2,0.959
198,folds_iter_esm_not_1_3,0.943
199,folds_iter_esm_not_1_4,0.943
200,folds_iter_esm_not_2_0,0.943
201,folds_iter_esm_not_2_1,0.935
202,folds_iter_esm_not_2_2,0.951
203,folds_iter_esm_not_2_3,0.943
204,folds_iter_esm_not_2_4,0.935
205,folds_iter_esm_o_1_0,0.943
206,folds_iter_esm_o_1_1,0.935
207,folds_iter_esm_o_1_2,0.935
208,folds_iter_esm_o_1_3,0.935
209,folds_iter_esm_o_1_4,0.943
210,folds_iter_esm_o_2_0,0.951
211,folds_iter_esm_o_2_1,0.943
212,folds_iter_esm_o_2_2,0.951
213,folds_iter_esm_o_2_3,0.951
214,folds_iter_esm_o_2_4,0.959
215,folds_iter_esm_o_not_1_0,0.943
216,folds_iter_esm_o_not_1_1,0.959
217,folds_iter_esm_o_not_1_2,0.935
218,folds_iter_esm_o_not_1_3,0.935
219,folds_iter_esm_o_not_1_4,0.935
