,model,tmscore
0,af3_jian_0,0.705
1,af3_jian_1,0.705
2,af3_jian_2,0.699
3,af3_jian_3,0.719
4,af3_jian_4,0.692
5,af3_jian_5,0.738
6,af3_jian_6,0.703
7,af3_jian_7,0.685
8,af3_jian_8,0.759
9,af3_jian_9,0.729
10,af3_pawan_0,0.714
11,af3_pawan_1,0.717
12,af3_pawan_2,0.705
13,af3_pawan_3,0.705
14,af3_pawan_4,0.732
15,af3_pawan_5,0.724
16,af3_pawan_6,0.735
17,af3_pawan_7,0.741
18,af3_pawan_8,0.726
19,af3_pawan_9,0.726
20,afsample_v1_0,0.736
21,afsample_v1_1,0.688
22,afsample_v1_2,0.703
23,afsample_v1_3,0.726
24,afsample_v1_4,0.733
25,afsample_v1_not_0,0.743
26,afsample_v1_not_1,0.735
27,afsample_v1_not_2,0.719
28,afsample_v1_not_3,0.68
29,afsample_v1_not_4,0.735
30,afsample_v1_r21_not_0,0.741
31,afsample_v1_r21_not_1,0.736
32,afsample_v1_r21_not_2,0.729
33,afsample_v1_r21_not_3,0.741
34,afsample_v1_r21_not_4,0.736
35,afsample_v2_0,0.75
36,afsample_v2_1,0.803
37,afsample_v2_2,0.77
38,afsample_v2_3,0.762
39,afsample_v2_4,0.743
40,afsample_v2_not_0,0.726
41,afsample_v2_not_1,0.74
42,afsample_v2_not_2,0.755
43,afsample_v2_not_3,0.75
44,afsample_v2_not_4,0.757
45,afsample_v2_r21_not_0,0.764
46,afsample_v2_r21_not_1,0.796
47,afsample_v2_r21_not_2,0.752
48,afsample_v2_r21_not_3,0.746
49,afsample_v2_r21_not_4,0.792
50,deepmsa2_0_0,0.763
51,deepmsa2_0_1,0.764
52,deepmsa2_0_2,0.707
53,deepmsa2_0_3,0.728
54,deepmsa2_0_4,0.752
55,deepmsa2_1_0,0.77
56,deepmsa2_1_1,0.77
57,deepmsa2_1_2,0.77
58,deepmsa2_1_3,0.766
59,deepmsa2_1_4,0.716
60,deepmsa2_2_0,0.761
61,deepmsa2_2_1,0.754
62,deepmsa2_2_2,0.741
63,deepmsa2_2_3,0.754
64,deepmsa2_2_4,0.733
65,deepmsa2_3_0,0.766
66,deepmsa2_3_1,0.764
67,deepmsa2_3_2,0.784
68,deepmsa2_3_3,0.723
69,deepmsa2_3_4,0.705
70,deepmsa2_4_0,0.757
71,deepmsa2_4_1,0.754
72,deepmsa2_4_2,0.768
73,deepmsa2_4_3,0.763
74,deepmsa2_4_4,0.763
75,deepmsa2_5_0,0.773
76,deepmsa2_5_1,0.761
77,deepmsa2_5_2,0.768
78,deepmsa2_5_3,0.78
79,deepmsa2_5_4,0.723
80,deepmsa2_6_0,0.777
81,deepmsa2_6_1,0.771
82,deepmsa2_6_2,0.779
83,deepmsa2_6_3,0.777
84,deepmsa2_6_4,0.764
85,deepmsa2_7_0,0.773
86,deepmsa2_7_1,0.77
87,deepmsa2_7_2,0.741
88,deepmsa2_7_3,0.779
89,deepmsa2_7_4,0.769
90,def_mul_comp_0,0.755
91,def_mul_comp_1,0.748
92,def_mul_comp_2,0.738
93,def_mul_comp_3,0.733
94,def_mul_comp_4,0.75
95,def_mul_drop_nos_0,0.74
96,def_mul_drop_nos_1,0.727
97,def_mul_drop_nos_2,0.753
98,def_mul_drop_nos_3,0.738
99,def_mul_drop_nos_4,0.77
100,def_mul_drop_s_0,0.735
101,def_mul_drop_s_1,0.757
102,def_mul_drop_s_2,0.747
103,def_mul_drop_s_3,0.74
104,def_mul_drop_s_4,0.743
105,def_mul_esm_msa_0,0.73
106,def_mul_esm_msa_1,0.752
107,def_mul_esm_msa_2,0.762
108,def_mul_esm_msa_3,0.73
109,def_mul_esm_msa_4,0.74
110,def_mul_nopair_0,0.767
111,def_mul_nopair_1,0.752
