,model,tmscore
0,af3_jian_0,0.237
1,af3_jian_1,0.247
2,af3_jian_2,0.267
3,af3_jian_3,0.242
4,af3_jian_4,0.251
5,af3_jian_5,0.25
6,af3_jian_6,0.246
7,af3_jian_7,0.271
8,af3_jian_8,0.247
9,af3_jian_9,0.257
10,af3_pawan_0,0.239
11,af3_pawan_1,0.259
12,af3_pawan_2,0.264
13,af3_pawan_3,0.271
14,af3_pawan_4,0.267
15,af3_pawan_5,0.26
16,af3_pawan_6,0.248
17,af3_pawan_7,0.237
18,af3_pawan_8,0.252
19,af3_pawan_9,0.228
20,afsample_v1_0,0.11
21,afsample_v1_1,0.11
22,afsample_v1_2,0.11
23,afsample_v1_3,0.11
24,afsample_v1_4,0.111
25,afsample_v1_not_0,0.11
26,afsample_v1_not_1,0.111
27,afsample_v1_not_2,0.11
28,afsample_v1_not_3,0.11
29,afsample_v1_not_4,0.11
30,afsample_v1_r21_not_0,0.111
31,afsample_v1_r21_not_1,0.111
32,afsample_v1_r21_not_2,0.111
33,afsample_v1_r21_not_3,0.114
34,afsample_v1_r21_not_4,0.111
35,afsample_v2_0,0.655
36,afsample_v2_1,0.455
37,afsample_v2_2,0.606
38,afsample_v2_3,0.611
39,afsample_v2_4,0.607
40,afsample_v2_not_0,0.658
41,afsample_v2_not_1,0.649
42,afsample_v2_not_2,0.647
43,afsample_v2_not_3,0.655
44,afsample_v2_not_4,0.593
45,afsample_v2_r21_not_0,0.662
46,afsample_v2_r21_not_1,0.648
47,afsample_v2_r21_not_2,0.641
48,afsample_v2_r21_not_3,0.638
49,afsample_v2_r21_not_4,0.62
50,deepmsa2_0_0,0.151
51,deepmsa2_0_1,0.154
52,deepmsa2_0_2,0.189
53,deepmsa2_0_3,0.173
54,deepmsa2_0_4,0.192
55,deepmsa2_1_0,0.142
56,deepmsa2_1_1,0.109
57,deepmsa2_1_2,0.109
58,deepmsa2_1_3,0.255
59,deepmsa2_1_4,0.146
60,deepmsa2_2_0,0.119
61,deepmsa2_2_1,0.123
62,deepmsa2_2_2,0.147
63,deepmsa2_2_3,0.113
64,deepmsa2_2_4,0.09
65,deepmsa2_3_0,0.141
66,deepmsa2_3_1,0.113
67,deepmsa2_3_2,0.077
68,deepmsa2_3_3,0.108
69,deepmsa2_3_4,0.199
70,deepmsa2_4_0,0.123
71,deepmsa2_4_1,0.09
72,deepmsa2_4_2,0.121
73,deepmsa2_4_3,0.053
74,deepmsa2_4_4,0.167
75,deepmsa2_5_0,0.05
76,deepmsa2_5_1,0.033
77,deepmsa2_5_2,0.076
78,deepmsa2_5_3,0.113
79,deepmsa2_5_4,0.127
80,deepmsa2_6_0,0.144
81,deepmsa2_6_1,0.13
82,deepmsa2_6_2,0.093
83,deepmsa2_6_3,0.096
84,deepmsa2_6_4,0.225
85,deepmsa2_7_0,0.168
86,deepmsa2_7_1,0.196
87,deepmsa2_7_2,0.123
88,deepmsa2_7_3,0.192
89,deepmsa2_7_4,0.131
90,def_mul_comp_0,0.579
91,def_mul_comp_1,0.677
92,def_mul_comp_2,0.73
93,def_mul_comp_3,0.725
94,def_mul_comp_4,0.635
95,def_mul_drop_nos_0,0.442
96,def_mul_drop_nos_1,0.572
97,def_mul_drop_nos_2,0.388
98,def_mul_drop_nos_3,0.475
99,def_mul_drop_nos_4,0.452
100,def_mul_drop_s_0,0.642
101,def_mul_drop_s_1,0.517
102,def_mul_drop_s_2,0.458
103,def_mul_drop_s_3,0.229
104,def_mul_drop_s_4,0.392
105,def_mul_esm_msa_0,0.513
106,def_mul_esm_msa_1,0.367
107,def_mul_esm_msa_2,0.468
108,def_mul_esm_msa_3,0.422
109,def_mul_esm_msa_4,0.573
110,def_mul_not_drop_nos_0,0.379
111,def_mul_not_drop_nos_1,0.346
112,def_mul_not_drop_nos_2,0.313
113,def_mul_not_drop_nos_3,0.768
114,def_mul_not_drop_nos_4,0.48
115,def_mul_not_drop_s_0,0.758
116,def_mul_not_drop_s_1,0.754
117,def_mul_not_drop_s_2,0.765
118,def_mul_not_drop_s_3,0.215
119,def_mul_not_drop_s_4,0.743
120,def_mul_notemp_0,0.424
121,def_mul_notemp_1,0.632
122,def_mul_notemp_2,0.368
123,def_mul_notemp_3,0.509
124,def_mul_notemp_4,0.629
125,def_mul_pdb_0,0.734
126,def_mul_pdb_1,0.738
127,def_mul_pdb_2,0.724
128,def_mul_pdb_3,0.728
129,def_mul_pdb_4,0.733
130,def_mul_pdb70_0,0.63
131,def_mul_pdb70_1,0.627
132,def_mul_pdb70_2,0.688
133,def_mul_pdb70_3,0.686
134,def_mul_pdb70_4,0.686
135,def_mul_struct_0,0.404
136,def_mul_struct_1,0.347
137,def_mul_struct_2,0.497
138,def_mul_struct_3,0.527
139,def_mul_struct_4,0.282
140,default_multimer_0,0.43
141,default_multimer_1,0.421
142,default_multimer_2,0.359
143,default_multimer_3,0.454
144,default_multimer_4,0.622
145,folds_iter_1_0,0.04
146,folds_iter_1_1,0.134
147,folds_iter_1_2,0.228
148,folds_iter_1_3,0.216
149,folds_iter_1_4,0.115
150,folds_iter_2_0,0.081
151,folds_iter_2_1,0.207
152,folds_iter_2_2,0.078
153,folds_iter_2_3,0.204
154,folds_iter_2_4,0.073
155,folds_iter_not_1_0,0.24
156,folds_iter_not_1_1,0.292
157,folds_iter_not_1_2,0.297
158,folds_iter_not_1_3,0.171
159,folds_iter_not_1_4,0.175
160,folds_iter_not_2_0,0.288
161,folds_iter_not_2_1,0.276
162,folds_iter_not_2_2,0.171
163,folds_iter_not_2_3,0.216
164,folds_iter_not_2_4,0.234
165,folds_iter_o_1_0,0.147
166,folds_iter_o_1_1,0.142
167,folds_iter_o_1_2,0.129
168,folds_iter_o_1_3,0.183
169,folds_iter_o_1_4,0.159
170,folds_iter_o_2_0,0.236
171,folds_iter_o_2_1,0.164
172,folds_iter_o_2_2,0.182
173,folds_iter_o_2_3,0.127
174,folds_iter_o_2_4,0.092
175,pdb_inter_prot_sto_0,0.446
176,pdb_inter_prot_sto_1,0.34
177,pdb_inter_prot_sto_2,0.317
178,pdb_inter_prot_sto_3,0.337
179,pdb_inter_prot_sto_4,0.347
180,pdb_inter_ref_a3m_0,0.075
181,pdb_inter_ref_a3m_1,0.143
182,pdb_inter_ref_a3m_2,0.245
183,pdb_inter_ref_a3m_3,0.468
184,pdb_inter_ref_a3m_4,0.133
185,pdb_inter_ref_sto_0,0.207
186,pdb_inter_ref_sto_1,0.247
187,pdb_inter_ref_sto_2,0.336
188,pdb_inter_ref_sto_3,0.438
189,pdb_inter_ref_sto_4,0.187
190,spec_comp_0,0.447
191,spec_comp_1,0.516
192,spec_comp_2,0.442
193,spec_comp_3,0.349
194,spec_comp_4,0.375
195,spec_inter_prot_sto_0,0.354
196,spec_inter_prot_sto_1,0.357
197,spec_inter_prot_sto_2,0.332
198,spec_inter_prot_sto_3,0.324
199,spec_inter_prot_sto_4,0.308
200,spec_inter_ref_a3m_0,0.351
201,spec_inter_ref_a3m_1,0.404
202,spec_inter_ref_a3m_2,0.501
203,spec_inter_ref_a3m_3,0.348
204,spec_inter_ref_a3m_4,0.351
205,spec_inter_ref_sto_0,0.506
206,spec_inter_ref_sto_1,0.388
207,spec_inter_ref_sto_2,0.431
208,spec_inter_ref_sto_3,0.571
209,spec_inter_ref_sto_4,0.473
210,spec_pdb_0,0.378
211,spec_pdb_1,0.555
212,spec_pdb_2,0.578
213,spec_pdb_3,0.505
214,spec_pdb_4,0.556
215,spec_pdb70_0,0.453
216,spec_pdb70_1,0.292
217,spec_pdb70_2,0.568
218,spec_pdb70_3,0.364
219,spec_pdb70_4,0.624
220,spec_struct_0,0.312
221,spec_struct_1,0.256
222,spec_struct_2,0.301
223,spec_struct_3,0.411
224,spec_struct_4,0.427
225,uniclust_ox_a3m_0,0.375
226,uniclust_ox_a3m_1,0.383
227,uniclust_ox_a3m_2,0.441
228,uniclust_ox_a3m_3,0.344
229,uniclust_ox_a3m_4,0.522
