,model,tmscore
0,af3_jian_0,0.52
1,af3_jian_1,0.545
2,af3_jian_2,0.546
3,af3_jian_3,0.544
4,af3_jian_4,0.506
5,af3_jian_5,0.534
6,af3_jian_6,0.522
7,af3_jian_7,0.535
8,af3_jian_8,0.596
9,af3_jian_9,0.516
10,af3_pawan_0,0.516
11,af3_pawan_1,0.504
12,af3_pawan_2,0.536
13,af3_pawan_3,0.547
14,af3_pawan_4,0.668
15,af3_pawan_5,0.662
16,af3_pawan_6,0.685
17,af3_pawan_7,0.541
18,af3_pawan_8,0.515
19,af3_pawan_9,0.508
20,afsample_v1_0,0.539
21,afsample_v1_1,0.55
22,afsample_v1_2,0.547
23,afsample_v1_3,0.54
24,afsample_v1_4,0.524
25,afsample_v1_not_0,0.537
26,afsample_v1_not_1,0.533
27,afsample_v1_not_2,0.537
28,afsample_v1_not_3,0.534
29,afsample_v1_not_4,0.526
30,afsample_v1_r21_not_0,0.546
31,afsample_v1_r21_not_1,0.548
32,afsample_v1_r21_not_2,0.542
33,afsample_v1_r21_not_3,0.539
34,afsample_v1_r21_not_4,0.546
35,afsample_v2_0,0.595
36,afsample_v2_1,0.584
37,afsample_v2_2,0.584
38,afsample_v2_3,0.585
39,afsample_v2_4,0.585
40,afsample_v2_not_0,0.593
41,afsample_v2_not_1,0.584
42,afsample_v2_not_2,0.581
43,afsample_v2_not_3,0.579
44,afsample_v2_not_4,0.58
45,afsample_v2_r21_not_0,0.583
46,afsample_v2_r21_not_1,0.586
47,afsample_v2_r21_not_2,0.583
48,afsample_v2_r21_not_3,0.583
49,afsample_v2_r21_not_4,0.583
50,deepmsa2_0_0,0.571
51,deepmsa2_0_1,0.573
52,deepmsa2_0_2,0.57
53,deepmsa2_0_3,0.57
54,deepmsa2_0_4,0.573
55,deepmsa2_1_0,0.565
56,deepmsa2_1_1,0.57
57,deepmsa2_1_2,0.574
58,deepmsa2_1_3,0.57
59,deepmsa2_1_4,0.565
60,deepmsa2_10_0,0.533
61,deepmsa2_10_1,0.549
62,deepmsa2_10_2,0.563
63,deepmsa2_10_3,0.573
64,deepmsa2_10_4,0.57
65,deepmsa2_11_0,0.569
66,deepmsa2_11_1,0.566
67,deepmsa2_11_2,0.57
68,deepmsa2_11_3,0.571
69,deepmsa2_11_4,0.578
70,deepmsa2_12_0,0.57
71,deepmsa2_12_1,0.575
72,deepmsa2_12_2,0.578
73,deepmsa2_12_3,0.568
74,deepmsa2_12_4,0.573
75,deepmsa2_13_0,0.575
76,deepmsa2_13_1,0.569
77,deepmsa2_13_2,0.566
78,deepmsa2_13_3,0.57
79,deepmsa2_13_4,0.573
80,deepmsa2_14_0,0.542
81,deepmsa2_14_1,0.571
82,deepmsa2_14_2,0.568
83,deepmsa2_14_3,0.575
84,deepmsa2_14_4,0.553
85,deepmsa2_15_0,0.576
86,deepmsa2_15_1,0.58
87,deepmsa2_15_2,0.566
88,deepmsa2_15_3,0.571
89,deepmsa2_15_4,0.576
90,deepmsa2_2_0,0.565
91,deepmsa2_2_1,0.575
92,deepmsa2_2_2,0.575
93,deepmsa2_2_3,0.573
94,deepmsa2_2_4,0.57
95,deepmsa2_3_0,0.565
96,deepmsa2_3_1,0.57
97,deepmsa2_3_2,0.57
98,deepmsa2_3_3,0.57
99,deepmsa2_3_4,0.57
100,deepmsa2_4_0,0.576
101,deepmsa2_4_1,0.565
102,deepmsa2_4_2,0.57
103,deepmsa2_4_3,0.565
104,deepmsa2_4_4,0.561
105,deepmsa2_5_0,0.577
106,deepmsa2_5_1,0.575
107,deepmsa2_5_2,0.568
108,deepmsa2_5_3,0.576
109,deepmsa2_5_4,0.575
110,def_mul_comp_0,0.571
111,def_mul_comp_1,0.575
112,def_mul_comp_2,0.571
113,def_mul_comp_3,0.566
114,def_mul_comp_4,0.575
115,def_mul_drop_nos_0,0.578
116,def_mul_drop_nos_1,0.569
117,def_mul_drop_nos_2,0.578
118,def_mul_drop_nos_3,0.578
119,def_mul_drop_nos_4,0.566
120,def_mul_drop_s_0,0.563
121,def_mul_drop_s_1,0.581
122,def_mul_drop_s_2,0.577
123,def_mul_drop_s_3,0.572
124,def_mul_drop_s_4,0.576
125,def_mul_esm_msa_0,0.566
126,def_mul_esm_msa_1,0.566
127,def_mul_esm_msa_2,0.573
128,def_mul_esm_msa_3,0.566
129,def_mul_esm_msa_4,0.57
130,def_mul_nopair_0,0.583
131,def_mul_nopair_1,0.586
132,def_mul_nopair_2,0.571
133,def_mul_nopair_3,0.586
134,def_mul_nopair_4,0.575
135,def_mul_not_drop_nos_0,0.562
136,def_mul_not_drop_nos_1,0.571
137,def_mul_not_drop_nos_2,0.581
138,def_mul_not_drop_nos_3,0.525
139,def_mul_not_drop_nos_4,0.543
140,def_mul_not_drop_s_0,0.679
141,def_mul_not_drop_s_1,0.686
142,def_mul_not_drop_s_2,0.557
143,def_mul_not_drop_s_3,0.552
144,def_mul_not_drop_s_4,0.539
145,def_mul_notemp_0,0.527
146,def_mul_notemp_1,0.566
147,def_mul_notemp_2,0.569
148,def_mul_notemp_3,0.553
149,def_mul_notemp_4,0.525
150,def_mul_pdb_0,0.56
151,def_mul_pdb_1,0.564
152,def_mul_pdb_2,0.569
153,def_mul_pdb_3,0.569
154,def_mul_pdb_4,0.569
155,def_mul_pdb70_0,0.586
156,def_mul_pdb70_1,0.577
157,def_mul_pdb70_2,0.592
158,def_mul_pdb70_3,0.6
159,def_mul_pdb70_4,0.595
160,def_mul_struct_0,0.575
161,def_mul_struct_1,0.574
162,def_mul_struct_2,0.56
163,def_mul_struct_3,0.562
164,def_mul_struct_4,0.567
165,default_multimer_0,0.573
166,default_multimer_1,0.568
167,default_multimer_2,0.584
168,default_multimer_3,0.586
169,default_multimer_4,0.579
170,folds_iter_1_0,0.559
171,folds_iter_1_1,0.542
172,folds_iter_1_2,0.569
173,folds_iter_1_3,0.552
174,folds_iter_1_4,0.58
175,folds_iter_2_0,0.569
176,folds_iter_2_1,0.553
177,folds_iter_2_2,0.582
178,folds_iter_2_3,0.578
179,folds_iter_2_4,0.583
180,folds_iter_esm_1_0,0.57
181,folds_iter_esm_1_1,0.561
182,folds_iter_esm_1_2,0.579
183,folds_iter_esm_1_3,0.587
184,folds_iter_esm_1_4,0.561
185,pdb_inter_prot_sto_0,0.58
186,pdb_inter_prot_sto_1,0.568
187,pdb_inter_prot_sto_2,0.573
188,pdb_inter_prot_sto_3,0.585
189,pdb_inter_prot_sto_4,0.566
190,pdb_inter_ref_a3m_0,0.542
191,pdb_inter_ref_a3m_1,0.542
192,pdb_inter_ref_a3m_2,0.532
193,pdb_inter_ref_a3m_3,0.563
194,pdb_inter_ref_a3m_4,0.561
195,pdb_inter_ref_sto_0,0.591
196,pdb_inter_ref_sto_1,0.571
197,pdb_inter_ref_sto_2,0.586
198,pdb_inter_ref_sto_3,0.571
199,pdb_inter_ref_sto_4,0.578
200,spec_comp_0,0.583
201,spec_comp_1,0.576
202,spec_comp_2,0.584
203,spec_comp_3,0.589
204,spec_comp_4,0.565
205,spec_inter_prot_sto_0,0.561
206,spec_inter_prot_sto_1,0.573
207,spec_inter_prot_sto_2,0.595
208,spec_inter_prot_sto_3,0.57
209,spec_inter_prot_sto_4,0.587
210,spec_inter_ref_a3m_0,0.571
211,spec_inter_ref_a3m_1,0.576
212,spec_inter_ref_a3m_2,0.573
213,spec_inter_ref_a3m_3,0.585
214,spec_inter_ref_a3m_4,0.578
215,spec_inter_ref_sto_0,0.569
216,spec_inter_ref_sto_1,0.594
217,spec_inter_ref_sto_2,0.573
218,spec_inter_ref_sto_3,0.582
219,spec_inter_ref_sto_4,0.571
220,spec_pdb_0,0.542
221,spec_pdb_1,0.551
