,model,tmscore
0,af3_jian_0,0.687
1,af3_jian_1,0.673
2,af3_jian_2,0.695
3,af3_jian_3,0.653
4,af3_jian_4,0.664
5,af3_jian_5,0.666
6,af3_jian_6,0.663
7,af3_jian_7,0.629
8,af3_jian_8,0.668
9,af3_jian_9,0.686
10,af3_pawan_0,0.691
11,af3_pawan_1,0.636
12,af3_pawan_2,0.636
13,af3_pawan_3,0.643
14,af3_pawan_4,0.678
15,af3_pawan_5,0.657
16,af3_pawan_6,0.613
17,af3_pawan_7,0.728
18,af3_pawan_8,0.589
19,af3_pawan_9,0.621
20,def_mul_comp_0,0.684
21,def_mul_comp_1,0.678
22,def_mul_comp_2,0.677
23,def_mul_comp_3,0.701
24,def_mul_comp_4,0.685
25,default_multimer_0,0.718
26,default_multimer_1,0.681
27,default_multimer_2,0.706
28,default_multimer_3,0.719
29,default_multimer_4,0.796
