,model,tmscore
0,af3_jian_0,0.532
1,af3_jian_1,0.542
2,af3_jian_2,0.559
3,af3_jian_3,0.557
4,af3_jian_4,0.546
5,af3_jian_5,0.536
6,af3_jian_6,0.554
7,af3_jian_7,0.537
8,af3_jian_8,0.532
9,af3_jian_9,0.551
10,af3_pawan_0,0.569
11,af3_pawan_1,0.542
12,af3_pawan_2,0.575
13,af3_pawan_3,0.584
14,af3_pawan_4,0.596
15,af3_pawan_5,0.62
16,af3_pawan_6,0.602
17,af3_pawan_7,0.591
18,af3_pawan_8,0.622
19,af3_pawan_9,0.639
20,afsample_v1_0,0.12
21,afsample_v1_1,0.151
22,afsample_v1_2,0.06
23,afsample_v1_3,0.022
24,afsample_v1_4,0.149
25,afsample_v1_not_0,0.008
26,afsample_v1_not_1,0.165
27,afsample_v1_not_2,0.069
28,afsample_v1_not_3,0.133
29,afsample_v1_not_4,0.143
30,afsample_v1_r21_not_0,0.014
31,afsample_v1_r21_not_1,0.019
32,afsample_v1_r21_not_2,0.026
33,afsample_v1_r21_not_3,0.132
34,afsample_v1_r21_not_4,0.022
35,afsample_v2_0,0.014
36,afsample_v2_1,0.119
37,afsample_v2_2,0.075
38,afsample_v2_3,0.002
39,afsample_v2_4,0.001
40,afsample_v2_not_0,0.078
41,afsample_v2_not_1,0.08
42,afsample_v2_not_2,0.065
43,afsample_v2_not_3,0.081
44,afsample_v2_not_4,0.108
45,afsample_v2_r21_not_0,0.139
46,afsample_v2_r21_not_1,0.061
47,afsample_v2_r21_not_2,0.059
48,afsample_v2_r21_not_3,0.025
49,afsample_v2_r21_not_4,0.092
50,deepmsa2_0_0,0.024
51,deepmsa2_0_1,0.842
52,deepmsa2_0_2,0.084
53,deepmsa2_0_3,0.086
54,deepmsa2_0_4,0.128
55,deepmsa2_1_0,0.187
56,deepmsa2_1_1,0.208
57,deepmsa2_1_2,0.198
58,deepmsa2_1_3,0.07
59,deepmsa2_1_4,0.012
60,deepmsa2_10_0,0.941
61,deepmsa2_10_1,0.94
62,deepmsa2_10_2,0.013
63,deepmsa2_10_3,0.182
64,deepmsa2_10_4,0.067
65,deepmsa2_11_0,0.023
66,deepmsa2_11_1,0.156
67,deepmsa2_11_2,0.201
68,deepmsa2_11_3,0.011
69,deepmsa2_11_4,0.154
70,deepmsa2_12_0,0.22
71,deepmsa2_12_1,0.024
72,deepmsa2_12_2,0.194
73,deepmsa2_12_3,0.203
74,deepmsa2_12_4,0.166
75,deepmsa2_13_0,0.198
76,deepmsa2_13_1,0.19
77,deepmsa2_13_2,0.683
78,deepmsa2_13_3,0.196
79,deepmsa2_13_4,0.184
80,deepmsa2_14_0,0.243
81,deepmsa2_14_1,0.002
82,deepmsa2_14_2,0.066
83,deepmsa2_14_3,0.021
84,deepmsa2_14_4,0.161
85,deepmsa2_15_0,0.533
86,deepmsa2_15_1,0.229
87,deepmsa2_15_2,0.055
88,deepmsa2_15_3,0.095
89,deepmsa2_15_4,0.058
90,deepmsa2_2_0,0.19
91,deepmsa2_2_1,0.173
92,deepmsa2_2_2,0.05
93,deepmsa2_2_3,0.015
94,deepmsa2_2_4,0.089
95,deepmsa2_3_0,0.196
96,deepmsa2_3_1,0.012
97,deepmsa2_3_2,0.14
98,deepmsa2_3_3,0.011
99,deepmsa2_3_4,0.026
100,deepmsa2_4_0,0.074
101,deepmsa2_4_1,0.094
102,deepmsa2_4_2,0.024
103,deepmsa2_4_3,0.043
104,deepmsa2_4_4,0.125
105,deepmsa2_5_0,0.253
106,deepmsa2_5_1,0.024
107,deepmsa2_5_2,0.043
108,deepmsa2_5_3,0.206
109,deepmsa2_5_4,0.038
110,deepmsa2_6_0,0.209
111,deepmsa2_6_1,0.177
112,deepmsa2_6_2,0.173
113,deepmsa2_6_3,0.063
114,deepmsa2_6_4,0.049
115,deepmsa2_7_0,0.198
116,deepmsa2_7_1,0.653
117,deepmsa2_7_2,0.001
118,deepmsa2_7_3,0.167
119,deepmsa2_7_4,0.003
120,deepmsa2_8_0,0.184
121,deepmsa2_8_1,0.018
122,deepmsa2_8_2,0.021
123,deepmsa2_8_3,0.08
124,deepmsa2_8_4,0.109
125,deepmsa2_9_0,0.155
126,deepmsa2_9_1,0.088
127,deepmsa2_9_2,0.201
128,deepmsa2_9_3,0.265
129,deepmsa2_9_4,0.118
130,def_mul_comp_0,0.031
131,def_mul_comp_1,0.107
132,def_mul_comp_2,0.033
133,def_mul_comp_3,0.016
134,def_mul_comp_4,0.097
135,def_mul_drop_nos_0,0.12
136,def_mul_drop_nos_1,0.036
137,def_mul_drop_nos_2,0.111
138,def_mul_drop_nos_3,0.126
139,def_mul_drop_nos_4,0.07
140,def_mul_drop_s_0,0.118
141,def_mul_drop_s_1,0.106
142,def_mul_drop_s_2,0.32
143,def_mul_drop_s_3,0.122
144,def_mul_drop_s_4,0.054
145,def_mul_esm_msa_0,0.029
146,def_mul_esm_msa_1,0.023
147,def_mul_esm_msa_2,0.009
148,def_mul_esm_msa_3,0.023
149,def_mul_esm_msa_4,0.024
150,def_mul_nopair_0,0.076
151,def_mul_nopair_1,0.085
152,def_mul_nopair_2,0.13
153,def_mul_nopair_3,0.002
154,def_mul_nopair_4,0.072
155,def_mul_not_drop_nos_0,0.013
156,def_mul_not_drop_nos_1,0.041
157,def_mul_not_drop_nos_2,0.042
158,def_mul_not_drop_nos_3,0.005
159,def_mul_not_drop_nos_4,0.002
160,def_mul_not_drop_s_0,0.012
161,def_mul_not_drop_s_1,0.114
162,def_mul_not_drop_s_2,0.02
163,def_mul_not_drop_s_3,0.008
164,def_mul_not_drop_s_4,0.016
165,def_mul_notemp_0,0.011
166,def_mul_notemp_1,0.013
167,def_mul_notemp_2,0.003
168,def_mul_notemp_3,0.007
169,def_mul_notemp_4,0.05
170,def_mul_pdb_0,0.02
171,def_mul_pdb_1,0.007
172,def_mul_pdb_2,0.053
173,def_mul_pdb_3,0.027
174,def_mul_pdb_4,0.148
175,def_mul_pdb70_0,0.009
176,def_mul_pdb70_1,0.06
177,def_mul_pdb70_2,0.009
178,def_mul_pdb70_3,0.202
179,def_mul_pdb70_4,0.097
180,def_mul_struct_0,0.943
181,def_mul_struct_1,0.94
182,def_mul_struct_2,0.23
183,def_mul_struct_3,0.229
184,def_mul_struct_4,0.211
185,default_multimer_0,0.035
186,default_multimer_1,0.078
187,default_multimer_2,0.013
188,default_multimer_3,0.047
189,default_multimer_4,0.007
190,folds_iter_1_0,0.933
191,folds_iter_1_1,0.935
192,folds_iter_1_2,0.935
193,folds_iter_1_3,0.941
194,folds_iter_1_4,0.933
195,folds_iter_2_0,0.935
196,folds_iter_2_1,0.933
197,folds_iter_2_2,0.933
198,folds_iter_2_3,0.933
199,folds_iter_2_4,0.938
200,folds_iter_esm_1_0,0.926
201,folds_iter_esm_1_1,0.918
202,folds_iter_esm_1_2,0.944
203,folds_iter_esm_1_3,0.932
204,folds_iter_esm_1_4,0.185
205,folds_iter_esm_2_0,0.933
206,folds_iter_esm_2_1,0.935
207,folds_iter_esm_2_2,0.933
208,folds_iter_esm_2_3,0.921
209,folds_iter_esm_2_4,0.936
210,folds_iter_esm_nop_1_0,0.93
