,model,tmscore
0,af3_jian_0,0.307
1,af3_jian_1,0.331
2,af3_jian_2,0.33
3,af3_jian_3,0.375
4,af3_jian_4,0.331
5,af3_jian_5,0.352
6,af3_jian_6,0.33
7,af3_jian_7,0.329
8,af3_jian_8,0.341
9,af3_jian_9,0.316
10,af3_pawan_0,0.335
11,af3_pawan_1,0.341
12,af3_pawan_2,0.362
13,af3_pawan_3,0.36
14,af3_pawan_4,0.365
15,af3_pawan_5,0.372
16,af3_pawan_6,0.352
17,af3_pawan_7,0.41
18,af3_pawan_8,0.368
19,af3_pawan_9,0.371
20,afsample_v1_0,0.167
21,afsample_v1_1,0.011
22,afsample_v1_2,0.027
23,afsample_v1_3,0.017
24,afsample_v1_4,0.123
25,afsample_v1_not_0,0.358
26,afsample_v1_not_1,0.201
27,afsample_v1_not_2,0.113
28,afsample_v1_not_3,0.024
29,afsample_v1_not_4,0.006
30,afsample_v1_r21_not_0,0.403
31,afsample_v1_r21_not_1,0.324
32,afsample_v1_r21_not_2,0.386
33,afsample_v1_r21_not_3,0.321
34,afsample_v1_r21_not_4,0.393
35,afsample_v2_0,0.0
36,afsample_v2_1,0.0
37,afsample_v2_2,0.0
38,afsample_v2_3,0.0
39,afsample_v2_4,0.004
40,afsample_v2_not_0,0.0
41,afsample_v2_not_1,0.021
42,afsample_v2_not_2,0.0
43,afsample_v2_not_3,0.025
44,afsample_v2_not_4,0.0
45,afsample_v2_r21_not_0,0.093
46,afsample_v2_r21_not_1,0.122
47,afsample_v2_r21_not_2,0.095
48,afsample_v2_r21_not_3,0.093
49,afsample_v2_r21_not_4,0.077
50,deepmsa2_0_0,0.382
51,deepmsa2_0_1,0.384
52,deepmsa2_0_2,0.373
53,deepmsa2_0_3,0.382
54,deepmsa2_0_4,0.379
55,deepmsa2_1_0,0.85
56,deepmsa2_1_1,0.385
57,deepmsa2_1_2,0.384
58,deepmsa2_1_3,0.414
59,deepmsa2_1_4,0.385
60,deepmsa2_2_0,0.429
61,deepmsa2_2_1,0.432
62,deepmsa2_2_2,0.414
63,deepmsa2_2_3,0.382
64,deepmsa2_2_4,0.367
65,deepmsa2_3_0,0.419
66,deepmsa2_3_1,0.384
67,deepmsa2_3_2,0.385
68,deepmsa2_3_3,0.383
69,deepmsa2_3_4,0.412
70,deepmsa2_4_0,0.382
71,deepmsa2_4_1,0.383
72,deepmsa2_4_2,0.385
73,deepmsa2_4_3,0.386
74,deepmsa2_4_4,0.383
75,def_mul_comp_0,0.434
76,def_mul_comp_1,0.386
77,def_mul_comp_2,0.415
78,def_mul_comp_3,0.437
79,def_mul_comp_4,0.435
80,def_mul_drop_nos_0,0.406
81,def_mul_drop_nos_1,0.398
82,def_mul_drop_nos_2,0.42
83,def_mul_drop_nos_3,0.398
84,def_mul_drop_nos_4,0.417
85,def_mul_drop_s_0,0.419
86,def_mul_drop_s_1,0.42
87,def_mul_drop_s_2,0.392
88,def_mul_drop_s_3,0.418
89,def_mul_drop_s_4,0.417
90,def_mul_esm_msa_0,0.42
91,def_mul_esm_msa_1,0.702
92,def_mul_esm_msa_2,0.403
93,def_mul_esm_msa_3,0.389
94,def_mul_esm_msa_4,0.414
95,def_mul_not_drop_nos_0,0.389
96,def_mul_not_drop_nos_1,0.445
97,def_mul_not_drop_nos_2,0.422
98,def_mul_not_drop_nos_3,0.393
99,def_mul_not_drop_nos_4,0.391
100,def_mul_not_drop_s_0,0.403
101,def_mul_not_drop_s_1,0.428
102,def_mul_not_drop_s_2,0.392
103,def_mul_not_drop_s_3,0.408
104,def_mul_not_drop_s_4,0.425
105,def_mul_notemp_0,0.388
106,def_mul_notemp_1,0.379
107,def_mul_notemp_2,0.448
108,def_mul_notemp_3,0.421
109,def_mul_notemp_4,0.381
110,def_mul_pdb_0,0.386
111,def_mul_pdb_1,0.391
112,def_mul_pdb_2,0.395
113,def_mul_pdb_3,0.431
114,def_mul_pdb_4,0.415
115,def_mul_pdb70_0,0.411
116,def_mul_pdb70_1,0.443
117,def_mul_pdb70_2,0.435
118,def_mul_pdb70_3,0.452
119,def_mul_pdb70_4,0.431
120,def_mul_struct_0,0.385
121,def_mul_struct_1,0.436
122,def_mul_struct_2,0.394
123,def_mul_struct_3,0.414
124,def_mul_struct_4,0.43
125,default_multimer_0,0.379
126,default_multimer_1,0.382
127,default_multimer_2,0.38
128,default_multimer_3,0.385
129,default_multimer_4,0.389
130,pdb_inter_prot_sto_0,0.0
131,pdb_inter_prot_sto_1,0.0
132,pdb_inter_prot_sto_2,0.0
133,pdb_inter_prot_sto_3,0.0
134,pdb_inter_prot_sto_4,0.0
135,pdb_inter_ref_a3m_0,0.37
136,pdb_inter_ref_a3m_1,0.364
137,pdb_inter_ref_a3m_2,0.349
138,pdb_inter_ref_a3m_3,0.349
139,pdb_inter_ref_a3m_4,0.349
140,pdb_inter_ref_sto_0,0.364
141,pdb_inter_ref_sto_1,0.362
142,pdb_inter_ref_sto_2,0.365
143,pdb_inter_ref_sto_3,0.364
144,pdb_inter_ref_sto_4,0.363
145,spec_comp_0,0.45
146,spec_comp_1,0.433
147,spec_comp_2,0.448
148,spec_comp_3,0.35
149,spec_comp_4,0.356
150,spec_inter_prot_sto_0,0.0
151,spec_inter_prot_sto_1,0.0
152,spec_inter_prot_sto_2,0.0
153,spec_inter_prot_sto_3,0.0
154,spec_inter_prot_sto_4,0.0
155,spec_inter_ref_a3m_0,0.45
156,spec_inter_ref_a3m_1,0.349
157,spec_inter_ref_a3m_2,0.35
158,spec_inter_ref_a3m_3,0.35
