,model,tmscore
0,af3_jian_0,0.929
1,af3_jian_1,0.936
2,af3_jian_2,0.933
3,af3_jian_3,0.935
4,af3_jian_4,0.933
5,af3_jian_5,0.93
6,af3_jian_6,0.933
7,af3_jian_7,0.932
8,af3_jian_8,0.934
9,af3_jian_9,0.936
10,af3_pawan_0,0.934
11,af3_pawan_1,0.934
12,af3_pawan_2,0.935
13,af3_pawan_3,0.934
14,af3_pawan_4,0.934
15,af3_pawan_5,0.933
16,af3_pawan_6,0.933
17,af3_pawan_7,0.93
18,af3_pawan_8,0.937
19,af3_pawan_9,0.935
20,afsample_v1_0,0.917
21,afsample_v1_1,0.916
22,afsample_v1_2,0.918
23,afsample_v1_3,0.918
24,afsample_v1_4,0.917
25,afsample_v1_not_0,0.922
26,afsample_v1_not_1,0.914
27,afsample_v1_not_2,0.899
28,afsample_v1_not_3,0.918
29,afsample_v1_not_4,0.918
30,afsample_v1_r21_not_0,0.912
31,afsample_v1_r21_not_1,0.913
32,afsample_v1_r21_not_2,0.913
33,afsample_v1_r21_not_3,0.912
34,afsample_v1_r21_not_4,0.913
35,afsample_v2_0,0.906
36,afsample_v2_1,0.903
37,afsample_v2_2,0.904
38,afsample_v2_3,0.905
39,afsample_v2_4,0.904
40,afsample_v2_not_0,0.903
41,afsample_v2_not_1,0.903
42,afsample_v2_not_2,0.904
43,afsample_v2_not_3,0.904
44,afsample_v2_not_4,0.903
45,afsample_v2_r21_not_0,0.919
46,afsample_v2_r21_not_1,0.92
47,afsample_v2_r21_not_2,0.918
48,afsample_v2_r21_not_3,0.918
49,afsample_v2_r21_not_4,0.918
50,colabfold_casp16_web_0,0.9
51,colabfold_casp16_web_1,0.898
52,colabfold_casp16_web_2,0.895
53,colabfold_casp16_web_3,0.895
54,colabfold_casp16_web_4,0.906
55,colabfold_casp16_web_not_0,0.897
56,colabfold_casp16_web_not_1,0.889
57,colabfold_casp16_web_not_2,0.773
58,colabfold_casp16_web_not_3,0.892
59,colabfold_casp16_web_not_4,0.896
60,deepmsa2_0_0,0.925
