,model,tmscore
0,af3_jian_0,0.823
1,af3_jian_1,0.825
2,af3_jian_2,0.827
3,af3_jian_3,0.832
4,af3_jian_4,0.825
5,af3_jian_5,0.828
6,af3_jian_6,0.816
7,af3_jian_7,0.83
8,af3_jian_8,0.823
9,af3_jian_9,0.829
10,af3_pawan_0,0.822
11,af3_pawan_1,0.825
12,af3_pawan_2,0.827
13,af3_pawan_3,0.832
14,af3_pawan_4,0.82
15,af3_pawan_5,0.817
16,af3_pawan_6,0.821
17,af3_pawan_7,0.831
18,af3_pawan_8,0.822
19,af3_pawan_9,0.829
20,afsample_v1_0,0.51
21,afsample_v1_1,0.482
22,afsample_v1_2,0.507
23,afsample_v1_3,0.524
24,afsample_v1_4,0.343
25,afsample_v1_not_0,0.66
26,afsample_v1_not_1,0.527
27,afsample_v1_not_2,0.316
28,afsample_v1_not_3,0.287
29,afsample_v1_not_4,0.278
30,afsample_v1_r21_not_0,0.811
31,afsample_v1_r21_not_1,0.759
32,afsample_v1_r21_not_2,0.823
33,afsample_v1_r21_not_3,0.762
34,afsample_v1_r21_not_4,0.766
35,afsample_v2_0,0.739
36,afsample_v2_1,0.713
37,afsample_v2_2,0.73
38,afsample_v2_3,0.735
39,afsample_v2_4,0.689
40,afsample_v2_not_0,0.746
41,afsample_v2_not_1,0.723
42,afsample_v2_not_2,0.753
43,afsample_v2_not_3,0.753
44,afsample_v2_not_4,0.738
45,afsample_v2_r21_not_0,0.69
46,afsample_v2_r21_not_1,0.706
47,afsample_v2_r21_not_2,0.704
48,afsample_v2_r21_not_3,0.701
49,afsample_v2_r21_not_4,0.757
50,colabfold_casp16_web_0,0.659
51,colabfold_casp16_web_1,0.637
52,colabfold_casp16_web_2,0.633
53,colabfold_casp16_web_3,0.547
54,colabfold_casp16_web_4,0.615
55,colabfold_casp16_web_not_0,0.598
56,colabfold_casp16_web_not_1,0.527
57,colabfold_casp16_web_not_2,0.543
58,colabfold_casp16_web_not_3,0.584
59,colabfold_casp16_web_not_4,0.597
60,deepmsa2_0_0,0.827
61,deepmsa2_0_1,0.827
62,deepmsa2_0_2,0.827
63,deepmsa2_0_3,0.833
64,deepmsa2_0_4,0.777
65,deepmsa2_1_0,0.883
66,deepmsa2_1_1,0.831
67,deepmsa2_1_2,0.826
68,deepmsa2_1_3,0.83
69,deepmsa2_1_4,0.823
70,deepmsa2_10_0,0.822
71,deepmsa2_10_1,0.788
72,deepmsa2_10_2,0.827
73,deepmsa2_10_3,0.782
74,deepmsa2_10_4,0.726
75,deepmsa2_11_0,0.786
76,deepmsa2_11_1,0.782
77,deepmsa2_11_2,0.702
78,deepmsa2_11_3,0.713
79,deepmsa2_11_4,0.764
80,deepmsa2_12_0,0.772
81,deepmsa2_12_1,0.778
82,deepmsa2_12_2,0.764
83,deepmsa2_12_3,0.768
84,deepmsa2_12_4,0.763
85,deepmsa2_13_0,0.786
86,deepmsa2_13_1,0.77
87,deepmsa2_13_2,0.721
88,deepmsa2_13_3,0.765
89,deepmsa2_13_4,0.767
90,deepmsa2_14_0,0.721
91,deepmsa2_14_1,0.724
92,deepmsa2_14_2,0.715
93,deepmsa2_14_3,0.757
94,deepmsa2_14_4,0.765
95,deepmsa2_2_0,0.83
96,deepmsa2_2_1,0.83
97,deepmsa2_2_2,0.804
98,deepmsa2_2_3,0.786
99,deepmsa2_2_4,0.829
100,deepmsa2_3_0,0.841
101,deepmsa2_3_1,0.828
102,deepmsa2_3_2,0.828
103,deepmsa2_3_3,0.828
104,deepmsa2_3_4,0.829
105,deepmsa2_4_0,0.829
106,deepmsa2_4_1,0.83
107,deepmsa2_4_2,0.827
108,deepmsa2_4_3,0.83
109,deepmsa2_4_4,0.838
110,deepmsa2_5_0,0.829
111,deepmsa2_5_1,0.793
112,deepmsa2_5_2,0.807
113,deepmsa2_5_3,0.824
114,deepmsa2_5_4,0.746
115,deepmsa2_6_0,0.827
116,deepmsa2_6_1,0.792
117,deepmsa2_6_2,0.828
118,deepmsa2_6_3,0.827
119,deepmsa2_6_4,0.829
120,deepmsa2_7_0,0.79
121,deepmsa2_7_1,0.786
122,deepmsa2_7_2,0.784
123,deepmsa2_7_3,0.792
124,deepmsa2_7_4,0.784
125,deepmsa2_8_0,0.787
126,deepmsa2_8_1,0.824
127,deepmsa2_8_2,0.768
128,deepmsa2_8_3,0.818
129,deepmsa2_8_4,0.797
130,deepmsa2_9_0,0.756
131,deepmsa2_9_1,0.731
132,deepmsa2_9_2,0.724
133,deepmsa2_9_3,0.709
134,deepmsa2_9_4,0.713
135,def_mul_comp_0,0.805
136,def_mul_comp_1,0.83
137,def_mul_comp_2,0.83
138,def_mul_comp_3,0.829
139,def_mul_comp_4,0.831
140,def_mul_drop_nos_0,0.825
141,def_mul_drop_nos_1,0.827
142,def_mul_drop_nos_2,0.829
143,def_mul_drop_nos_3,0.828
144,def_mul_drop_nos_4,0.827
145,def_mul_drop_s_0,0.83
146,def_mul_drop_s_1,0.83
147,def_mul_drop_s_2,0.827
148,def_mul_drop_s_3,0.828
149,def_mul_drop_s_4,0.83
150,def_mul_esm_msa_0,0.756
151,def_mul_esm_msa_1,0.819
152,def_mul_esm_msa_2,0.761
153,def_mul_esm_msa_3,0.768
154,def_mul_esm_msa_4,0.829
155,def_mul_not_drop_nos_0,0.822
156,def_mul_not_drop_nos_1,0.831
157,def_mul_not_drop_nos_2,0.83
158,def_mul_not_drop_nos_3,0.804
159,def_mul_not_drop_nos_4,0.806
160,def_mul_not_drop_s_0,0.828
161,def_mul_not_drop_s_1,0.832
162,def_mul_not_drop_s_2,0.81
163,def_mul_not_drop_s_3,0.829
164,def_mul_not_drop_s_4,0.799
165,def_mul_notemp_0,0.785
166,def_mul_notemp_1,0.765
167,def_mul_notemp_2,0.771
168,def_mul_notemp_3,0.769
169,def_mul_notemp_4,0.795
170,def_mul_pdb_0,0.827
171,def_mul_pdb_1,0.834
172,def_mul_pdb_2,0.826
173,def_mul_pdb_3,0.817
174,def_mul_pdb_4,0.831
175,def_mul_pdb70_0,0.785
176,def_mul_pdb70_1,0.831
177,def_mul_pdb70_2,0.798
178,def_mul_pdb70_3,0.831
179,def_mul_pdb70_4,0.81
180,def_mul_struct_0,0.829
181,def_mul_struct_1,0.83
182,def_mul_struct_2,0.757
183,def_mul_struct_3,0.83
184,def_mul_struct_4,0.831
185,default_multimer_0,0.829
186,default_multimer_1,0.829
187,default_multimer_2,0.826
188,default_multimer_3,0.83
189,default_multimer_4,0.83
190,folds_iter_1_0,0.751
191,folds_iter_1_1,0.76
192,folds_iter_1_2,0.767
193,folds_iter_1_3,0.765
194,folds_iter_1_4,0.758
195,folds_iter_2_0,0.825
196,folds_iter_2_1,0.765
197,folds_iter_2_2,0.765
198,folds_iter_2_3,0.763
199,folds_iter_2_4,0.765
200,folds_iter_esm_1_0,0.763
201,folds_iter_esm_1_1,0.754
202,folds_iter_esm_1_2,0.751
203,folds_iter_esm_1_3,0.729
204,folds_iter_esm_1_4,0.755
205,folds_iter_esm_2_0,0.791
206,folds_iter_esm_2_1,0.764
207,folds_iter_esm_2_2,0.736
208,folds_iter_esm_2_3,0.714
209,folds_iter_esm_2_4,0.734
210,folds_iter_esm_not_1_0,0.723
211,folds_iter_esm_not_1_1,0.742
212,folds_iter_esm_not_1_2,0.767
213,folds_iter_esm_not_1_3,0.761
214,folds_iter_esm_not_1_4,0.762
215,folds_iter_esm_not_2_0,0.727
216,folds_iter_esm_not_2_1,0.767
217,folds_iter_esm_not_2_2,0.742
218,folds_iter_esm_not_2_3,0.758
219,folds_iter_esm_not_2_4,0.757
220,folds_iter_esm_o_1_0,0.786
221,folds_iter_esm_o_1_1,0.752
222,folds_iter_esm_o_1_2,0.705
223,folds_iter_esm_o_1_3,0.753
224,folds_iter_esm_o_1_4,0.756
225,folds_iter_esm_o_2_0,0.703
226,folds_iter_esm_o_2_1,0.765
227,folds_iter_esm_o_2_2,0.703
228,folds_iter_esm_o_2_3,0.762
229,folds_iter_esm_o_2_4,0.767
230,folds_iter_esm_o_not_1_0,0.737
231,folds_iter_esm_o_not_1_1,0.734
232,folds_iter_esm_o_not_1_2,0.736
233,folds_iter_esm_o_not_1_3,0.727
234,folds_iter_esm_o_not_1_4,0.76
235,folds_iter_esm_o_not_2_0,0.771
236,folds_iter_esm_o_not_2_1,0.764
237,folds_iter_esm_o_not_2_2,0.747
238,folds_iter_esm_o_not_2_3,0.726
239,folds_iter_esm_o_not_2_4,0.758
240,folds_iter_not_1_0,0.759
241,folds_iter_not_1_1,0.757
242,folds_iter_not_1_2,0.766
243,folds_iter_not_1_3,0.765
244,folds_iter_not_1_4,0.765
245,folds_iter_not_2_0,0.785
246,folds_iter_not_2_1,0.83
247,folds_iter_not_2_2,0.709
248,folds_iter_not_2_3,0.751
249,folds_iter_not_2_4,0.764
250,folds_iter_o_1_0,0.82
251,folds_iter_o_1_1,0.822
252,folds_iter_o_1_2,0.813
253,folds_iter_o_1_3,0.765
254,folds_iter_o_1_4,0.762
255,folds_iter_o_2_0,0.828
256,folds_iter_o_2_1,0.818
257,folds_iter_o_2_2,0.825
258,folds_iter_o_2_3,0.816
259,folds_iter_o_2_4,0.767
260,folds_iter_o_not_1_0,0.7
261,folds_iter_o_not_1_1,0.733
262,folds_iter_o_not_1_2,0.752
263,folds_iter_o_not_1_3,0.764
264,folds_iter_o_not_1_4,0.75
265,folds_iter_o_not_2_0,0.728
266,folds_iter_o_not_2_1,0.749
267,folds_iter_o_not_2_2,0.765
268,folds_iter_o_not_2_3,0.737
269,folds_iter_o_not_2_4,0.733
270,pdb_inter_prot_sto_0,0.759
271,pdb_inter_prot_sto_1,0.756
272,pdb_inter_prot_sto_2,0.758
273,pdb_inter_prot_sto_3,0.76
274,pdb_inter_prot_sto_4,0.753
275,pdb_inter_ref_a3m_0,0.755
276,pdb_inter_ref_a3m_1,0.786
277,pdb_inter_ref_a3m_2,0.783
278,pdb_inter_ref_a3m_3,0.744
279,pdb_inter_ref_a3m_4,0.743
280,pdb_inter_ref_sto_0,0.82
281,pdb_inter_ref_sto_1,0.822
282,pdb_inter_ref_sto_2,0.823
283,pdb_inter_ref_sto_3,0.822
284,pdb_inter_ref_sto_4,0.822
285,spec_comp_0,0.784
286,spec_comp_1,0.822
287,spec_comp_2,0.8
288,spec_comp_3,0.816
289,spec_comp_4,0.79
290,spec_inter_prot_sto_0,0.734
291,spec_inter_prot_sto_1,0.735
292,spec_inter_prot_sto_2,0.729
293,spec_inter_prot_sto_3,0.734
294,spec_inter_prot_sto_4,0.735
295,spec_inter_ref_a3m_0,0.825
296,spec_inter_ref_a3m_1,0.82
297,spec_inter_ref_a3m_2,0.818
298,spec_inter_ref_a3m_3,0.816
299,spec_inter_ref_a3m_4,0.793
300,spec_inter_ref_sto_0,0.823
301,spec_inter_ref_sto_1,0.825
302,spec_inter_ref_sto_2,0.825
303,spec_inter_ref_sto_3,0.822
304,spec_inter_ref_sto_4,0.807
305,spec_pdb_0,0.788
306,spec_pdb_1,0.766
307,spec_pdb_2,0.763
308,spec_pdb_3,0.765
309,spec_pdb_4,0.747
310,spec_pdb70_0,0.834
311,spec_pdb70_1,0.801
312,spec_pdb70_2,0.797
313,spec_pdb70_3,0.79
314,spec_pdb70_4,0.788
315,spec_struct_0,0.762
316,spec_struct_1,0.738
317,spec_struct_2,0.76
318,spec_struct_3,0.756
319,spec_struct_4,0.75
320,uniclust_ox_a3m_0,0.82
321,uniclust_ox_a3m_1,0.818
322,uniclust_ox_a3m_2,0.818
323,uniclust_ox_a3m_3,0.821
324,uniclust_ox_a3m_4,0.818
