,model,tmscore
0,af3_jian_0,0.888
1,af3_jian_1,0.889
2,af3_jian_2,0.89
3,af3_jian_3,0.891
4,af3_jian_4,0.894
5,af3_jian_5,0.889
6,af3_jian_6,0.889
7,af3_jian_7,0.889
8,af3_jian_8,0.884
9,af3_jian_9,0.892
10,af3_pawan_0,0.891
11,af3_pawan_1,0.891
12,af3_pawan_2,0.89
13,af3_pawan_3,0.892
14,af3_pawan_4,0.893
15,af3_pawan_5,0.892
16,af3_pawan_6,0.89
17,af3_pawan_7,0.894
18,af3_pawan_8,0.888
19,af3_pawan_9,0.893
20,afsample_v1_0,0.872
21,afsample_v1_1,0.872
22,afsample_v1_2,0.865
23,afsample_v1_3,0.859
24,afsample_v1_4,0.867
25,afsample_v1_not_0,0.868
26,afsample_v1_not_1,0.874
27,afsample_v1_not_2,0.87
28,afsample_v1_not_3,0.872
29,afsample_v1_not_4,0.864
30,afsample_v2_0,0.874
31,afsample_v2_1,0.873
32,afsample_v2_2,0.872
33,afsample_v2_3,0.874
34,afsample_v2_4,0.869
35,afsample_v2_not_0,0.873
36,afsample_v2_not_1,0.868
37,afsample_v2_not_2,0.873
38,afsample_v2_not_3,0.866
39,afsample_v2_not_4,0.874
40,colabfold_casp16_web_0,0.88
41,colabfold_casp16_web_1,0.879
42,colabfold_casp16_web_2,0.877
43,colabfold_casp16_web_3,0.877
44,colabfold_casp16_web_4,0.876
45,colabfold_casp16_web_not_0,0.878
46,colabfold_casp16_web_not_1,0.88
47,colabfold_casp16_web_not_2,0.877
48,colabfold_casp16_web_not_3,0.875
49,colabfold_casp16_web_not_4,0.876
50,deepmsa2_0_0,0.881
51,deepmsa2_0_1,0.876
52,deepmsa2_0_2,0.879
53,deepmsa2_0_3,0.876
54,deepmsa2_0_4,0.878
55,deepmsa2_1_0,0.88
56,deepmsa2_1_1,0.877
57,deepmsa2_1_2,0.878
58,deepmsa2_1_3,0.878
59,deepmsa2_1_4,0.878
60,deepmsa2_2_0,0.875
61,deepmsa2_2_1,0.876
62,deepmsa2_2_2,0.879
63,deepmsa2_2_3,0.871
64,deepmsa2_2_4,0.872
65,deepmsa2_3_0,0.878
66,deepmsa2_3_1,0.879
67,deepmsa2_3_2,0.871
68,deepmsa2_3_3,0.873
69,deepmsa2_3_4,0.872
70,deepmsa2_4_0,0.874
71,deepmsa2_4_1,0.875
72,deepmsa2_4_2,0.88
73,deepmsa2_4_3,0.872
74,deepmsa2_4_4,0.868
75,deepmsa2_5_0,0.874
76,deepmsa2_5_1,0.876
77,deepmsa2_5_2,0.878
78,deepmsa2_5_3,0.875
79,deepmsa2_5_4,0.875
80,deepmsa2_6_0,0.88
81,deepmsa2_6_1,0.875
82,deepmsa2_6_2,0.875
83,deepmsa2_6_3,0.877
84,deepmsa2_6_4,0.876
85,def_mul_comp_0,0.88
86,def_mul_comp_1,0.88
87,def_mul_comp_2,0.878
88,def_mul_comp_3,0.879
89,def_mul_comp_4,0.876
90,def_mul_drop_nos_0,0.879
91,def_mul_drop_nos_1,0.878
92,def_mul_drop_nos_2,0.885
93,def_mul_drop_nos_3,0.881
94,def_mul_drop_nos_4,0.878
95,def_mul_drop_s_0,0.884
96,def_mul_drop_s_1,0.881
97,def_mul_drop_s_2,0.877
98,def_mul_drop_s_3,0.879
99,def_mul_drop_s_4,0.877
100,def_mul_esm_msa_0,0.881
101,def_mul_esm_msa_1,0.877
102,def_mul_esm_msa_2,0.876
103,def_mul_esm_msa_3,0.878
104,def_mul_esm_msa_4,0.878
105,def_mul_not_drop_nos_0,0.879
106,def_mul_not_drop_nos_1,0.882
107,def_mul_not_drop_nos_2,0.88
108,def_mul_not_drop_nos_3,0.88
109,def_mul_not_drop_nos_4,0.884
110,def_mul_not_drop_s_0,0.88
111,def_mul_not_drop_s_1,0.879
112,def_mul_not_drop_s_2,0.88
113,def_mul_not_drop_s_3,0.877
114,def_mul_not_drop_s_4,0.88
115,def_mul_notemp_0,0.879
116,def_mul_notemp_1,0.879
117,def_mul_notemp_2,0.877
118,def_mul_notemp_3,0.88
119,def_mul_notemp_4,0.88
120,def_mul_pdb_0,0.883
121,def_mul_pdb_1,0.88
122,def_mul_pdb_2,0.876
123,def_mul_pdb_3,0.879
124,def_mul_pdb_4,0.878
125,def_mul_pdb70_0,0.88
126,def_mul_pdb70_1,0.877
127,def_mul_pdb70_2,0.883
128,def_mul_pdb70_3,0.881
129,def_mul_pdb70_4,0.88
130,def_mul_struct_0,0.883
131,def_mul_struct_1,0.884
132,def_mul_struct_2,0.878
133,def_mul_struct_3,0.878
134,def_mul_struct_4,0.877
135,default_multimer_0,0.883
136,default_multimer_1,0.88
137,default_multimer_2,0.881
138,default_multimer_3,0.881
139,default_multimer_4,0.879
